Phylum,Class,Order,Family,Genus,Species,OTU,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,DGN16SuooMAaA_2_113,DGN16SuooMAaA_2_115,DGN16SuooMAaA_2_116,DGN16SuooMAaA_3_115,DGN16SuooMAaA_3_120,DGN16SuooMAaA_4_112,DGN16SuooMAaA_4_115,DGN16SuooMAaA_5_116,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,DGN16SuooMAaA_8_115,DGN16SuooMAaA_9_112,DGN16SuooMAaA_9_116,Rego006,Rego010,Rego015,Rego016,Rego019,Rego020,Rego023,Rego025,Rego030,Rego032,Rego035,Rego041,Rego042,Rego045,Rego046,Rego049,Rego054,Rego061,Rego063,Rego064,Rego069,Rego071,Rego083,WHYD20082037_A,WHYD20082062_A
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes_hadrus_g__Anaerostipes,OTU1535,35,4,0,10,0,6,39,94,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,unclassified_g__Blautia,OTU5142,50,6,0,34,0,8,45,158,1,0,6,0,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Eggerthia,Eggerthia_catenaformis_OT_569__DSM_20559,OTU54,0,0,5,0,3,0,0,1,0,3,14,0,0,20,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Johnsonella,uncultured_bacterium_g__Johnsonella,OTU3472,8,10,1,9,4,12,0,3,0,11,9,39,5,9,12,9,9,15,16,1,6,24,26,14,2,11,3,2,0,8,5,11,2,11,20,0,4,19,16,11,9,21
Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Solobacterium_moorei,OTU4082,19,67,198,3,37,19,17,6,31,72,34,25,55,49,13,15,30,8,27,52,14,73,5,22,7,13,25,26,5,22,56,28,8,57,20,25,27,8,46,17,14,38
Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia_extructa,OTU4247,0,7,0,0,0,0,0,9,0,8,0,0,0,46,3,1,2,0,0,0,11,0,1,0,1,0,1,20,2,0,14,0,0,0,2,0,0,0,0,7,0,0
Firmicutes,Bacilli,Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,OTU3062,10,2,2,0,0,0,2,0,0,0,11,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,2,0,2,0,0,0,3,5,0,0,9,0,0,1,0,0
Firmicutes,Bacilli,Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,OTU3060,1,3,3,0,0,1,0,1,5,5,0,2,9,1,1,4,0,1,0,1,6,1,0,1,2,1,0,2,3,2,7,6,1,5,3,9,4,0,5,2,2,1
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified_g__Lactobacillus,OTU507,13,4,0,0,0,0,0,0,0,0,7,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified_g__Streptococcus,OTU5592,49,152,82,84,95,62,86,21,137,48,74,142,146,60,125,129,29,33,78,43,22,50,72,116,38,16,46,41,42,22,64,63,206,66,70,75,96,40,33,45,120,69
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Filifactor,Filifactor_alocis_ATCC_35896,OTU3831,1,31,14,9,7,93,0,20,11,207,27,50,2,227,322,26,48,306,67,0,212,297,267,121,511,8,175,73,1,2,203,22,0,29,300,0,0,10,1,161,69,120
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Eubacterium_rectale_ATCC_33656,OTU1548,371,12,1,31,9,4,60,554,0,0,37,0,6,1,0,2,28,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,uncultured_bacterium_g__Veillonella,OTU4180,0,69,0,1,0,32,0,0,0,20,0,5,0,49,20,55,0,0,9,0,0,0,7,0,0,0,12,5,0,0,19,7,0,0,28,11,0,5,11,10,2,1
Firmicutes,Bacilli,RF39,norank_o__RF39,norank_f__norank_o__RF39,uncultured_bacterium_g__norank_f__norank_o__RF39,OTU2804,7,0,0,0,0,5,6,0,0,3,0,5,2,0,9,0,0,1,0,0,0,6,19,1,0,6,0,0,0,9,0,5,1,0,2,0,0,4,0,9,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,uncultured_Lachnospiraceae_bacterium_g__Oribacterium,OTU5798,24,1,2,8,2,5,68,1,17,1,54,7,5,12,47,1,15,9,8,5,1,2,31,15,1,1,7,3,1,0,52,6,4,8,32,4,1,0,10,7,4,9
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Mogibacterium,Mogibacterium_pumilum,OTU2810,6,32,20,1,4,8,2,7,6,6,25,3,1,1,8,8,15,8,5,6,8,20,5,10,6,1,1,5,1,5,27,2,0,7,15,7,5,1,1,8,3,8
Firmicutes,Bacilli,Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,OTU3488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,21,19,1,0,0,0,0,0,4,6,9,9,0,0,67,0,0,0,6,26,5,0,12,0,0
Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,uncultured_bacterium_g__Gemella,OTU5635,3,21,69,237,13,1,7,39,65,44,6,42,14,40,205,32,22,44,46,44,93,9,113,15,26,36,67,75,2,44,3,74,41,15,112,43,30,146,11,84,33,39
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,unclassified_g__Selenomonas,OTU3837,0,1,0,0,4,69,0,5,7,0,97,5,0,28,9,3,17,4,6,1,16,21,20,14,2,1,5,5,0,0,3,0,0,0,17,3,0,0,2,9,1,3
Firmicutes,Bacilli,Lactobacillales,P5D1-392,norank_f__P5D1-392,unclassified_g__norank_f__P5D1-392,OTU5782,0,6,2,1,4,0,2,0,3,0,0,5,6,0,2,5,1,1,4,3,0,3,1,4,6,2,0,1,3,1,2,3,1,0,1,3,1,0,1,4,3,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella_parvula,OTU2436,1366,228,163,147,703,506,1236,6,2288,38,1065,593,133,216,320,197,364,0,2,0,3,21,3,24,4,0,6,4,5,1,6,1,12,13,6,4,8,0,8,0,597,372
Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,uncultured_bacterium_g__Granulicatella,OTU3585,0,76,249,1957,54,6,0,0,541,108,0,25,33,47,390,30,42,208,226,485,114,40,239,2,0,96,524,523,2,0,41,858,0,345,74,108,110,479,17,184,4,3
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,uncultured_Blautia_sp._g__Blautia,OTU5423,54,5,0,5,1,5,25,51,0,0,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,norank_f__Lachnospiraceae,Eubacterium_sp._oral_clone_DO008,OTU3608,0,0,13,0,13,18,0,1,0,7,0,2,7,0,0,0,0,0,0,3,3,49,0,21,0,8,9,2,0,0,28,0,0,56,14,1,0,1,0,3,3,13
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified_f__Lachnospiraceae,unclassified_f__Lachnospiraceae,OTU4908,13,2,1,9,0,2,11,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,unclassified_p__Firmicutes,OTU3285,0,3,6,0,5,1,0,0,5,0,0,4,6,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,norank_f__Selenomonadaceae,Mitsuokella_sp._oral_taxon_131_str._W9106,OTU3722,2,0,1,0,18,0,14,0,4,0,43,5,0,0,0,0,0,0,18,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,8,0,2,0,2,0,1,4
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sputigena_ATCC_35185,OTU2801,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,9,6,6,0,0,0,0,1,0,12,0,2,3,2,1,1,0,1,2,0,0
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified_g__Streptococcus,OTU2850,1,10,3,0,7,3,3,1,1,1,2,0,8,1,1,9,0,1,2,3,1,0,0,5,2,0,0,1,3,1,5,0,5,2,2,5,4,2,3,0,10,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus_eutactus,OTU1601,12,1,0,20,0,0,22,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,uncultured_organism_g__Fusicatenibacter,OTU1734,64,4,1,27,5,10,40,156,0,0,7,0,2,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,unclassified_g__Blautia,OTU1136,20,1,0,4,1,1,11,25,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,uncultured_organism_g__Monoglobus,OTU1810,5,3,0,3,0,1,6,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified_f__Lachnospiraceae,unclassified_f__Lachnospiraceae,OTU1997,0,0,2,0,0,2,0,0,0,5,0,0,0,0,4,0,0,2,0,0,0,2,1,0,6,0,3,0,0,0,11,0,0,2,5,0,0,0,0,0,0,0
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Eubacterium_nodatum_group,Eubacterium_nodatum,OTU1865,0,3,1,1,2,0,0,2,0,24,0,3,0,0,43,0,0,15,2,0,0,7,7,0,22,0,7,1,0,0,8,0,0,0,56,1,0,1,0,15,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,unclassified_f__Selenomonadaceae,unclassified_f__Selenomonadaceae,OTU5544,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,19,12,25,0,0,6,7,1,0,40,2,0,8,2,3,1,0,2,3,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,unclassified_f__Veillonellaceae,unclassified_f__Veillonellaceae,OTU6401,0,0,0,0,0,3,0,1,4,0,11,9,1,0,1,0,3,1,2,0,0,8,5,3,2,0,2,8,0,0,1,0,0,0,4,0,3,0,0,4,0,0
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,unclassified_f__Streptococcaceae,unclassified_f__Streptococcaceae,OTU4187,2,30,13,7,12,11,8,10,5,4,4,6,13,1,2,20,10,6,5,6,2,13,8,16,29,16,0,9,7,10,54,42,6,9,9,17,26,19,12,19,24,5
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU3416,179,138,71,20,58,80,122,4,75,32,61,98,264,4,25,191,73,94,131,398,13,124,213,9,20,118,3,52,318,875,9,199,221,9,18,111,279,204,9,49,20,13
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified_g__Streptococcus,OTU4198,0,1,5,10,0,0,0,0,4,1,1,1,2,0,7,1,2,2,8,1,5,0,9,2,5,2,2,5,0,5,0,11,4,1,7,9,6,12,1,15,3,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,uncultured_bacterium_g__Veillonella,OTU3618,6,66,0,2,2,26,6,0,4,7,7,12,2,35,13,48,1,0,8,0,0,3,9,6,1,0,12,5,3,0,17,5,2,4,21,11,5,8,14,8,2,1
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_oralis,OTU5792,25,120,336,290,100,80,54,79,101,89,159,163,226,107,353,77,86,81,284,136,123,338,166,150,90,135,141,188,294,123,276,208,336,131,228,214,367,228,88,195,383,329
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella_dispar_ATCC_17748,OTU5642,5,29,1,0,6,5,7,0,0,0,2,0,11,2,0,7,0,0,1,0,0,2,2,0,0,0,0,0,1,0,4,1,0,0,0,2,0,0,9,0,5,1
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,norank_f__Anaerovoracaceae,uncultured_bacterium_g__norank_f__Anaerovoracaceae,OTU3547,0,8,0,0,0,8,0,0,0,11,0,1,0,28,2,1,4,14,0,0,13,27,2,11,22,1,1,0,0,1,12,3,0,0,22,0,0,0,1,29,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,unclassified_g__Blautia,OTU5132,5,2,0,4,0,1,11,37,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU5524,109,307,154,107,232,136,242,14,288,71,111,264,410,86,155,332,79,28,172,152,65,153,89,343,73,53,112,95,200,131,168,175,673,136,103,200,298,70,91,63,332,169
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,unclassified_g__Selenomonas,OTU546,309,3,2,78,61,188,353,10,90,12,62,77,19,16,26,6,52,2,13,2,3,22,6,45,5,0,0,4,1,2,68,0,0,9,25,10,0,3,6,5,9,6
Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_warneri,OTU1934,5,0,1,0,0,0,3,2,1,1,3,2,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,20,0,0,1,0,0,0,0,2,0,0,3
Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,uncultured_organism_g__Granulicatella,OTU3599,267,1153,1219,1302,645,350,438,298,979,626,292,794,528,89,558,559,835,599,1031,688,271,338,599,647,976,1840,421,892,214,860,1118,3070,109,326,508,853,661,779,443,835,476,716
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,unclassified_f__Selenomonadaceae,unclassified_f__Selenomonadaceae,OTU524,51,10,7,13,42,246,6,8,26,12,225,66,16,30,23,10,14,2,52,8,2,59,44,35,20,1,7,6,0,14,180,2,0,7,31,9,2,2,181,11,8,3
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_salivarius,OTU6236,685,41,5,0,0,0,40,0,3,0,276,0,0,0,72,0,0,0,199,0,0,16,0,0,33,0,7,0,12,0,21,0,19,23,4,0,128,0,51,0,1,0
Firmicutes,Clostridia,Clostridia_vadinBB60_group,norank_o__Clostridia_vadinBB60_group,norank_f__norank_o__Clostridia_vadinBB60_group,Clostridiales_bacterium_feline_oral_taxon_148,OTU4337,0,0,0,0,1,41,0,0,0,68,7,0,2,30,9,7,0,72,0,7,0,55,7,0,13,4,44,14,0,1,0,8,0,1,25,0,0,0,0,55,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,unclassified_f__Veillonellaceae,unclassified_f__Veillonellaceae,OTU2131,0,0,0,0,0,0,0,0,2,0,11,9,0,0,5,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sanguinis,OTU5508,1102,2729,1104,2500,1487,1828,2096,1494,927,594,1662,1770,848,1799,1881,1449,1538,429,897,348,1398,249,321,771,690,339,717,431,510,1248,802,1264,1224,390,379,636,554,530,156,1062,3665,2910
Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,unclassified_g__Mycoplasma,OTU4225,0,0,6,0,0,26,0,6,0,212,0,1,1,144,3,13,14,41,0,39,11,42,1,60,130,3,0,87,4,2,1,0,0,0,176,47,0,0,0,206,2,3
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified_g__Lactobacillus,OTU4127,1,2,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,18,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Ruminococcus_torques_group,Ruminococcus_torques_ATCC_27756,OTU1569,11,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Eubacterium_sp._oral_clone_GI038,OTU4170,52,8,7,0,10,3,16,0,0,1,0,0,6,0,0,0,0,0,0,3,0,2,0,3,0,8,0,0,0,1,9,0,0,22,0,0,8,0,44,0,1,2
Firmicutes,Clostridia,Peptococcales,Peptococcaceae,Peptococcus,unclassified_g__Peptococcus,OTU2823,5,6,31,1,1,16,0,8,28,26,1,12,30,37,11,4,1,22,14,8,29,30,15,23,15,2,19,9,0,10,24,10,2,19,19,5,2,7,1,24,6,22
Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,unclassified_f__Carnobacteriaceae,unclassified_f__Carnobacteriaceae,OTU537,3,72,35,21,27,9,18,1,49,11,12,35,49,1,4,31,18,11,23,26,2,15,19,36,15,17,7,17,12,28,42,54,12,20,9,17,27,16,15,18,15,6
Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_reuteri,OTU3710,96,11,1,0,0,0,0,0,0,0,6,110,0,0,17,0,0,0,0,0,0,5,0,0,1,0,4,0,0,1,3,0,15,0,0,1,0,128,0,0,0,0
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Romboutsia_ilealis,OTU741,7,2,0,1,1,0,6,31,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,norank_o__Peptostreptococcales-Tissierellales,Parvimonas,Parvimonas_micra,OTU5804,37,127,69,17,11,195,19,80,325,226,53,43,3,428,119,35,175,155,72,43,51,147,57,77,104,17,29,399,2,22,285,117,4,10,49,53,5,10,12,76,5,17
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,Shuttleworthia_satelles_DSM_14600,OTU3759,0,11,4,0,2,2,2,1,11,1,53,1,0,2,6,0,3,1,44,2,1,12,3,2,16,0,6,3,0,3,21,4,0,10,21,5,2,3,18,23,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,unclassified_g__Selenomonas,OTU2842,76,21,73,1,68,138,25,7,52,3,95,36,26,9,4,6,26,4,25,22,5,39,15,139,36,3,14,6,1,12,910,13,7,266,9,13,20,1,113,0,7,9
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,Firmicutes_oral_clone_BB124,OTU2400,0,0,0,0,0,0,0,7,0,0,0,12,0,5,47,0,8,22,0,0,3,11,62,1,3,0,30,6,0,0,0,1,0,0,1,0,0,7,0,1,0,0
Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,uncultured_bacterium_g__Gemella,OTU3595,131,250,641,1467,163,92,35,703,343,237,139,100,167,363,1474,228,607,295,356,418,1066,98,792,170,398,192,512,572,12,418,152,421,113,150,1204,206,272,943,265,793,123,250
Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii,OTU1541,176,6,1,59,4,16,216,738,1,0,23,3,2,2,0,7,18,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,unclassified_g__Faecalibacterium,OTU1546,31,1,0,12,1,4,27,138,0,0,3,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_mutans,OTU2845,61,0,0,4,33,26,11,2,0,0,7,0,6,15,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified_f__Lachnospiraceae,unclassified_f__Lachnospiraceae,OTU5996,15,1,0,1,2,2,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,unclassified_c__Bacilli,OTU3747,0,14,29,39,4,1,0,13,13,13,0,8,8,0,19,4,20,11,18,7,7,0,15,3,24,13,9,11,0,14,5,41,1,0,9,8,4,38,1,22,6,0
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified_g__Streptococcus,OTU5779,1,0,0,3,6,2,0,1,0,0,0,0,1,1,0,0,1,0,4,1,0,1,0,2,2,1,1,2,1,1,2,3,8,3,5,0,8,0,3,11,3,1
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,uncultured_organism_g__Oribacterium,OTU4194,105,25,17,0,17,112,80,34,3,10,294,38,49,216,6,35,33,0,7,96,52,113,4,58,23,1,64,14,8,9,48,5,9,80,15,7,28,4,41,14,6,54
Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,uncultured_bacterium_g__Abiotrophia,OTU3601,0,0,2,27,3,0,0,0,112,10,28,16,0,7,12,16,21,215,155,0,5,0,1,0,0,46,35,47,104,3,4,859,0,0,0,104,405,80,5,184,19,90
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unclassified_f__Lachnospiraceae,unclassified_f__Lachnospiraceae,OTU5799,0,3,1,6,4,10,0,1,0,1,0,3,1,12,0,10,2,2,0,0,0,1,0,3,0,0,2,1,0,0,1,0,0,3,5,0,2,3,8,1,4,5
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,uncultured_organism_g__Megamonas,OTU1304,39,1,0,10,0,2,6,32,0,0,9,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Bacilli,Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,unclassified_o__Lactobacillales,OTU2154,0,0,0,16,0,1,0,0,8,7,1,8,2,0,5,0,1,14,12,13,4,0,20,2,7,2,9,14,0,8,2,23,1,0,6,2,7,35,6,16,0,1
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,uncultured_organism_g__Veillonella,OTU3704,17,20,8,17,39,17,35,2,74,2,36,36,20,12,7,20,16,6,52,40,16,72,15,77,13,23,31,35,66,58,54,42,342,33,34,36,64,9,29,13,21,22
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified_g__Streptococcus,OTU516,3,0,3,10,4,3,0,1,2,12,2,4,5,0,12,24,4,8,6,8,25,3,11,10,2,4,2,15,0,9,1,0,1,1,5,11,10,1,2,8,1,2
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Catonella,unclassified_g__Catonella,OTU4161,0,15,0,0,2,52,0,8,1,51,0,0,2,46,0,8,15,22,0,0,1,0,5,17,0,0,9,11,0,0,83,0,0,0,4,0,0,0,0,101,0,0
Firmicutes,Clostridia,Clostridia_UCG-014,norank_o__Clostridia_UCG-014,norank_f__norank_o__Clostridia_UCG-014,unclassified_g__norank_f__norank_o__Clostridia_UCG-014,OTU4359,31,0,36,11,32,10,23,2,7,45,6,36,37,24,84,8,0,33,31,46,2,20,52,4,1,2,55,44,0,21,15,14,0,58,2,5,16,0,10,31,7,23
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,norank_o__Peptostreptococcales-Tissierellales,norank_f__norank_o__Peptostreptococcales-Tissierellales,Tissierella_sp._feline_oral_taxon_025,OTU4141,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,unclassified_g__Lachnospira,OTU1556,32,0,0,0,0,0,1,24,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,Veillonellaceae_bacterium_oral_taxon_129,OTU4120,10,2,3,2,2,51,5,0,39,2,8,23,2,11,6,2,2,0,2,3,2,27,15,2,5,0,4,4,0,1,12,4,0,7,82,3,0,0,4,4,0,1
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,Dialister_invisus_DSM_15470,OTU4206,0,3,0,3,0,8,0,0,0,0,39,1,1,0,12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,uncultured_Selenomonas_sp._g__Selenomonas,OTU3543,1,0,0,0,0,7,1,0,0,0,3,2,0,1,0,0,1,0,1,0,0,7,0,13,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,3,0,1
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonas,unclassified_g__Selenomonas,OTU3401,1,3,2,0,6,3,1,0,2,0,5,0,2,1,0,0,1,0,1,1,0,7,1,7,2,0,0,0,0,2,31,0,3,15,0,2,0,0,11,0,0,0
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Eubacterium_saphenum_group,Eubacterium_saphenum_ATCC_49989,OTU4139,0,7,0,0,0,38,0,22,0,37,0,2,0,51,0,9,6,96,0,0,32,65,0,0,31,7,35,13,0,1,0,0,0,0,20,0,0,0,0,26,0,0
