Phylum,Class,Order,Family,Genus,Species,OTU,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,DGN16SuooMAaA_2_113,DGN16SuooMAaA_2_115,DGN16SuooMAaA_2_116,DGN16SuooMAaA_3_115,DGN16SuooMAaA_3_120,DGN16SuooMAaA_4_112,DGN16SuooMAaA_4_115,DGN16SuooMAaA_5_116,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,DGN16SuooMAaA_8_115,DGN16SuooMAaA_9_112,DGN16SuooMAaA_9_116,Rego006,Rego010,Rego015,Rego016,Rego019,Rego020,Rego023,Rego025,Rego030,Rego032,Rego035,Rego041,Rego042,Rego045,Rego046,Rego049,Rego054,Rego061,Rego063,Rego064,Rego069,Rego071,Rego083,WHYD20082037_A,WHYD20082062_A
Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,Desulfobulbus_sp._ORNL,OTU3487,0,0,1,0,2,0,0,0,0,6,5,0,0,0,1,0,0,0,6,0,0,1,0,0,5,0,6,0,0,0,0,2,0,1,3,0,0,0,0,2,2,21
Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium_orale_DSM_12838,OTU3839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,49,0,0,0,24,14,0,0,0,0,0,0,0,0,0,0,0,89,0,6,0,0,0,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,norank_f__Selenomonadaceae,uncultured_Selenomonas_sp._g__norank,OTU2803,0,0,0,0,0,40,0,0,0,7,0,0,0,51,26,25,0,0,0,0,1,1,9,4,0,0,49,3,0,0,0,0,0,0,28,0,0,0,4,5,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Centipeda,uncultured_bacterium_g__Centipeda,OTU4356,1,3,0,1,3,5,3,0,0,1,13,32,0,0,0,0,0,31,39,0,3,51,10,2,7,0,11,3,0,0,2,0,1,0,4,0,0,3,3,18,0,4
Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,Lachnospiraceae_bacterium_GAM79,OTU4716,9,3,0,17,0,3,23,16,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoanaerobacter,Peptoanaerobacter_stomatis,OTU3834,0,2,0,5,1,24,0,1,0,8,0,4,0,0,8,0,8,12,0,0,5,36,61,10,0,0,6,15,0,0,33,0,1,0,16,15,0,2,0,5,0,0
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,unclassified_g__Veillonella,OTU593,5,8,4,6,24,21,17,0,9,6,21,35,44,2,4,7,4,5,14,7,1,27,6,47,9,5,4,3,13,9,10,1,3,18,6,7,19,6,21,4,24,5
Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified_g__Streptococcus,OTU4061,0,17,12,8,24,18,0,50,3,8,12,12,1,17,3,8,39,36,64,79,33,5,8,13,9,3,31,14,125,60,0,54,0,36,5,45,79,22,4,27,8,7
Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,Veillonella_atypica,OTU297,86,48,35,0,64,12,68,0,52,3,17,55,91,10,14,112,3,11,38,377,83,653,26,2400,83,22,430,79,3,1,1143,13,70,1029,191,305,491,89,968,0,31,17
Firmicutes,Bacilli,Lactobacillales,P5D1-392,norank_f__P5D1-392,Streptococcus_sp._oral_clone_ASCB12,OTU3675,0,8,0,1,3,2,2,0,4,1,1,6,13,1,0,3,1,4,15,7,3,15,8,39,8,2,5,10,14,10,18,7,51,8,13,18,22,0,7,5,2,1
