num sample rows,DGN16SxfsMCaB_20_109,DGN16SxfsMAaA_17_112,DGN16SxfsMAaA_12_122,WHYD200513783_A,DGN16SuooMAaA_7_113,DGN16SxfsMAaA_13_114,DGN16SxfsMAaA_18_115,GXJ0103_C6,GXJ0103_C8D15,DGN16SxfsMAaA_12_117,DGN16SxfsMAaA_16_119,DGN16SxfsMCaB_21_109,DGN16SxfsMCaB_22_109,YZR0106_C2,YZR0106_C4,ZJD0111_JX,ZJD0111_C4uiPD,YZY0112_C2D15,Rego006,WHYD200513792_A,DGN16SuooMAaA_3_120,Rego010,FQT0113_JX,FQT0113_C2D15,DGN16SuooMAaA_4_115,HSR0114_JX,HAH0115_JX,Rego015,Rego016,CGH0116_JX,CGH0116_C2D1,DGN16SuooMAaA_3_115,WHYD200513785_A,WHYD200513797_A,WHYD200513812_A,DGN16SuooMAaA_9_116,WHYD200716230_A,Rego019,ZXL0117_JX,Rego020,SZL0119_JX,DGN16SuooMAaA_8_115,WHYD200716245_A,Rego023,HM0120_JX,Rego025,CWZ0121_JX,CWZ0121_PD,SLM0122_JX,WHYD200513799_A,WHYD20082037_A,WHYD200716229_A,WHYD20082062_A,WHYD200716254_A,LGZ0123_JX,Rego030,FW0124_JX,Rego032,WHYD200513772_A,YMS0125_JX,Rego035,TWH0126_JX,Rego042,Rego041,LJK0127_JX,SJH0128_JX,Rego046,FMS0129_JX,Rego045,DGN16SuooMAaA_1_113,WHYD200513577_A,WY0132_JX,LWM0133_JX,LMS0134_JX,CKH0135_JX,Rego054,WHYD200513795_A,DGN16SuooMAaA_1_115,WHYD200513813_A,PXX0136_JX,Rego061,Rego064,YGF0137_JX,JFQ0138_JX,Rego063,WHYD200513798_A,DGN16SuooMAaA_2_115,WHYD200513822_A,WHYD200513800_A,Rego069,DGN16SuooMAaA_5_116,Rego049,DGN16SuooMAaA_1_112,DGN16SuooMAaA_2_116,Rego083,WHYD200513765_A,DGN16SuooMAaA_4_112,WHYD200513815_A,DGN16SuooMAaA_2_113,WHYD200513773_A,DGN16SuooMAaA_1_116,WHYD200513784_A,WHYD200513786_A,DGN16SuooMAaA_9_112,WHYD200513802_A,DGN16SuooMAaA_7_115,WHYD200513791_A,GZL0140_JX,Rego071,WHYD200513766_A,DGN16SxfsMCaB_19_109
34100,2.8948,2.4041,3.4282,3.7288,4.0907,3.8765,3.431,2.6793,4.4002,3.4451,3.782,2.9323,2.3176,1.5813,NA,2.5644,3.4742,3.2466,4.1494,3.0335,4.0472,4.2595,2.2988,2.8003,4.4258,4.3836,3.7255,3.6762,3.5196,3.8853,3.8135,3.2809,3.8944,3.8433,3.812,3.7423,3.4957,4.6312,3.4731,4.3697,2.9487,3.7942,2.8283,4.2533,3.5224,4.0983,3.1933,3.6954,2.7684,3.2808,3.9655,3.9808,3.5735,3.8582,4.3526,3.2138,NA,4.322,3.8675,3.6718,4.0782,2.5684,3.0847,2.0421,2.1648,3.9083,3.6558,2.9501,4.323,4.059,3.5198,3.3898,4.0963,4.0064,NA,4.0792,2.0239,3.9519,1.7468,3.5416,4.269,3.5991,3.5141,3.1513,3.622,1.9285,4.5007,2.395,3.4202,3.4339,4.4228,2.7385,4.2341,4.0189,4.3639,3.7867,4.4449,3.6667,4.2833,2.9335,3.7651,3.4824,4.3407,3.859,4.1592,3.9161,3.1657,2.9999,4.0266,2.7189,3.4553
34200,2.8949,2.4042,3.4282,3.7287,4.0908,3.8764,3.431,2.6794,4.4003,3.4452,3.7821,2.9323,2.3176,1.5813,NA,2.5644,3.4742,3.2466,4.1494,3.0336,4.0472,4.2596,2.2987,2.8003,4.4258,4.3836,3.7255,3.6762,3.5195,3.8853,3.8135,3.2809,3.8944,3.8433,3.812,3.7423,3.4957,4.6312,3.4731,4.3696,2.9487,3.7942,2.8283,4.2533,3.5224,4.0984,3.1934,3.6954,2.7684,3.2808,3.9654,3.9809,3.5735,3.8581,4.3526,3.2138,NA,4.322,3.8675,3.6718,4.0782,2.5685,3.0847,2.0421,2.1649,3.9084,3.6559,2.9501,4.3231,4.0591,3.5198,3.3899,4.0964,4.0064,NA,4.0793,2.024,3.9519,1.7467,3.5416,4.269,3.5992,3.514,3.1514,3.622,1.9284,4.5008,2.395,3.4202,3.434,4.4228,2.7383,4.2341,4.0189,4.3639,3.7868,4.445,3.6667,4.2832,2.9335,3.7652,3.4825,4.3408,3.8591,4.1593,3.9161,3.1658,2.9999,4.0266,2.7189,3.4554
34300,2.895,2.4042,3.4282,3.7286,4.0907,3.8765,3.4311,2.6794,4.4002,3.4451,3.7821,2.9323,2.3177,1.5812,NA,2.5644,3.4742,3.2467,4.1495,3.0336,4.0471,4.2596,2.2987,2.8003,4.4259,4.3836,3.7256,3.6762,3.5195,3.8853,3.8135,3.281,3.8945,3.8434,3.8121,3.7422,3.4957,4.6312,3.4731,4.3697,2.9486,3.7942,2.8284,4.2533,3.5224,4.0984,3.1934,3.6954,2.7684,3.2809,3.9655,3.9809,3.5735,3.8581,4.3526,3.2138,NA,4.322,3.8675,3.6719,4.0783,2.5686,3.0848,2.042,2.1648,3.9083,3.6559,2.9502,4.3231,4.0591,3.5197,3.3901,4.0964,4.0064,NA,4.0793,2.0241,3.9519,1.7467,3.5416,4.269,3.5992,3.514,3.1513,3.622,1.9285,4.5009,2.395,3.4203,3.4341,4.4228,2.7384,4.2341,4.019,4.364,3.7868,4.445,3.6667,4.2832,2.9335,3.7653,3.4825,4.3408,3.8591,4.1593,3.9162,3.1657,3,4.0266,2.719,3.4554
34400,2.895,2.4043,3.4282,3.7286,4.0909,3.8765,3.4311,2.6795,4.4002,3.4451,3.7821,2.9324,2.3177,1.5812,NA,2.5645,3.4742,3.2468,4.1495,3.0336,4.0471,4.2595,2.2987,2.8002,4.4259,4.3836,3.7255,3.6762,3.5196,3.8854,3.8136,3.281,3.8945,3.8434,3.8121,3.7423,3.4956,4.6313,3.4731,4.3697,2.9487,3.7942,2.8285,4.2533,3.5225,4.0985,3.1935,3.6954,2.7683,3.2809,3.9656,3.9809,3.5734,3.8582,4.3526,3.2138,NA,4.322,3.8675,3.6719,4.0783,2.5686,3.0847,2.042,2.1649,3.9083,3.6559,2.9501,4.3232,4.059,3.5197,3.3902,4.0965,4.0064,NA,4.0793,2.024,3.952,1.7467,3.5416,4.2691,3.5991,3.5139,3.1513,3.622,1.9285,4.501,2.3951,3.4204,3.434,4.4228,2.7384,4.2342,4.0191,4.364,3.7868,4.445,3.6668,4.2832,2.9336,3.7654,3.4825,4.3409,3.8591,4.1593,3.9162,3.1657,2.9999,4.0266,2.7191,3.4554
34500,2.895,2.4044,3.4283,3.7286,4.0909,3.8765,3.4309,2.6794,4.4003,3.4451,3.7821,2.9325,2.3177,1.5813,NA,2.5645,3.4743,3.2468,4.1495,3.0336,4.0471,4.2595,2.2987,2.8003,4.4259,4.3835,3.7254,3.6761,3.5196,3.8854,3.8136,3.281,3.8944,3.8433,3.8122,3.7423,3.4956,4.6313,3.4732,4.3697,2.9486,3.7941,2.8285,4.2534,3.5226,4.0986,3.1936,3.6954,2.7682,3.281,3.9656,3.9809,3.5734,3.8583,4.3526,3.2137,NA,4.322,3.8675,3.672,4.0783,2.5686,3.0847,2.0422,2.165,3.9083,3.6559,2.9502,4.3232,4.0591,3.5197,3.3902,4.0966,4.0065,NA,4.0794,2.0239,3.952,1.7467,3.5416,4.2691,3.5991,3.514,3.1513,3.6219,1.9285,4.5011,2.3951,3.4204,3.434,4.4229,2.7384,4.2342,4.019,4.3639,3.7867,4.4452,3.6669,4.2833,2.9335,3.7653,3.4825,4.3408,3.859,4.1593,3.9162,3.1657,2.9999,4.0267,2.7191,3.4553
34600,2.895,2.4043,3.4283,3.7287,4.0909,3.8764,3.4309,2.6795,4.4003,3.4451,3.7821,2.9325,2.3177,1.5813,NA,2.5646,3.4743,3.2469,4.1495,3.0336,4.0472,4.2596,2.2987,2.8003,4.4258,4.3836,3.7254,3.6762,3.5196,3.8855,3.8136,3.281,3.8944,3.8433,3.8122,3.7423,3.4956,4.6313,3.4732,4.3698,2.9486,3.7943,2.8286,4.2533,3.5226,4.0985,3.1937,3.6954,2.7683,3.2809,3.9656,3.9809,3.5734,3.8582,4.3526,3.2136,NA,4.3219,3.8676,3.672,4.0783,2.5687,3.0847,2.0421,2.1651,3.9084,3.6558,2.9502,4.3232,4.0591,3.5198,3.3902,4.0965,4.0066,NA,4.0794,2.0239,3.952,1.7467,3.5416,4.2692,3.599,3.514,3.1513,3.6219,1.9286,4.5011,2.395,3.4204,3.4341,4.4229,2.7384,4.2343,4.0192,4.3639,3.7868,4.4452,3.6669,4.2831,2.9336,3.7653,3.4827,4.3409,3.859,4.1593,3.9162,3.1657,3,4.0267,2.7191,3.4554
34700,2.895,2.4044,3.4285,3.7287,4.091,3.8765,3.431,2.6795,4.4004,3.4452,3.7821,2.9325,2.3177,1.5812,NA,2.5646,3.4744,3.2469,4.1495,3.0336,4.0472,4.2596,2.2988,2.8003,4.4259,4.3837,3.7253,3.6764,3.5196,3.8855,3.8136,3.281,3.8945,3.8435,3.8122,3.7423,3.4956,4.6313,3.4732,4.3697,2.9486,3.7943,2.8285,4.2534,3.5226,4.0986,3.1937,3.6953,2.7682,3.281,3.9656,3.9809,3.5734,3.8582,4.3527,3.2136,NA,4.3219,3.8676,3.6721,4.0784,2.5687,3.0847,2.0421,2.1652,3.9084,3.6559,2.9501,4.3232,4.0591,3.5198,3.3903,4.0966,4.0066,NA,4.0795,2.0239,3.9521,1.7467,3.5416,4.2692,3.599,3.514,3.1513,3.6219,1.9286,4.5012,2.395,3.4204,3.4341,4.4229,2.7384,4.2343,4.0192,4.364,3.7867,4.4453,3.667,4.2832,2.9336,3.7653,3.4828,4.3409,3.8591,4.1593,3.9162,3.1658,2.9999,4.0268,2.7191,3.4554
34800,2.8949,2.4044,3.4285,3.7288,4.091,3.8766,3.4311,2.6796,4.4004,3.4452,3.782,2.9325,2.3177,1.5812,NA,2.5645,3.4744,3.247,4.1495,3.0336,4.0472,4.2596,2.2988,2.8004,4.426,4.3837,3.7253,3.6764,3.5196,3.8856,3.8137,3.2811,3.8944,3.8434,3.8122,3.7424,3.4956,4.6313,3.4732,4.3698,2.9487,3.7943,2.8285,4.2533,3.5226,4.0986,3.1937,3.6954,2.7683,3.2811,3.9657,3.981,3.5733,3.8582,4.3527,3.2136,NA,4.322,3.8676,3.6722,4.0784,2.5687,3.0847,2.0422,2.1653,3.9085,3.656,2.9501,4.3232,4.0591,3.5199,3.3903,4.0966,4.0066,NA,4.0796,2.0239,3.9521,1.7468,3.5417,4.2692,3.599,3.514,3.1513,3.6219,1.9286,4.5012,2.395,3.4204,3.4341,4.423,2.7385,4.2344,4.0193,4.364,3.7868,4.4453,3.6669,4.2833,2.9335,3.7653,3.4828,4.341,3.8592,4.1593,3.9162,3.1658,3,4.0268,2.7192,3.4555
34900,2.895,2.4045,3.4285,3.7288,4.091,3.8765,3.4311,2.6795,4.4004,3.4453,3.782,2.9325,2.3177,1.5812,NA,2.5645,3.4745,3.247,4.1495,3.0336,4.0473,4.2596,2.2988,2.8004,4.426,4.3837,3.7253,3.6764,3.5197,3.8855,3.8137,3.2811,3.8945,3.8433,3.8122,3.7423,3.4957,4.6314,3.4731,4.3698,2.9487,3.7945,2.8285,4.2533,3.5227,4.0986,3.1937,3.6954,2.7684,3.2812,3.9657,3.9809,3.5733,3.8583,4.3527,3.2135,NA,4.3221,3.8676,3.6723,4.0785,2.5687,3.0847,2.0423,2.1653,3.9085,3.6559,2.9502,4.3233,4.0592,3.52,3.3903,4.0967,4.0067,NA,4.0796,2.0239,3.9521,1.7468,3.5417,4.2692,3.5991,3.5141,3.1513,3.6219,1.9287,4.5012,2.395,3.4204,3.4342,4.423,2.7384,4.2345,4.0193,4.3641,3.7869,4.4453,3.6668,4.2834,2.9335,3.7654,3.4829,4.3411,3.8591,4.1593,3.9161,3.1659,3,4.0269,2.7192,3.4556
35000,2.8951,2.4046,3.4286,3.7288,4.091,3.8766,3.4312,2.6795,4.4004,3.4453,3.782,2.9325,2.3177,1.5812,NA,2.5645,3.4745,3.2471,4.1495,3.0336,4.0473,4.2597,2.2989,2.8004,4.4261,4.3837,3.7253,3.6764,3.5196,3.8856,3.8137,3.2811,3.8945,3.8434,3.8122,3.7424,3.4957,4.6314,3.4731,4.3698,2.9487,3.7944,2.8284,4.2533,3.5227,4.0987,3.1937,3.6955,2.7685,3.2811,3.9657,3.9809,3.5734,3.8582,4.3527,3.2135,NA,4.3221,3.8676,3.6723,4.0786,2.5687,3.0847,2.0423,2.1654,3.9085,3.656,2.9502,4.3232,4.0593,3.52,3.3903,4.0967,4.0068,NA,4.0796,2.0239,3.9522,1.7468,3.5418,4.2693,3.5991,3.5141,3.1514,3.6219,1.9287,4.5013,2.395,3.4203,3.4342,4.4231,2.7385,4.2346,4.0194,4.364,3.7868,4.4454,3.6669,4.2834,2.9337,3.7655,3.4828,4.3411,3.8591,4.1593,3.9163,3.1659,3,4.0269,2.7193,3.4556
