num sample rows,DGN16SxfsMCaB_20_109,DGN16SxfsMAaA_17_112,DGN16SxfsMAaA_12_122,WHYD200513783_A,DGN16SuooMAaA_7_113,DGN16SxfsMAaA_13_114,DGN16SxfsMAaA_18_115,GXJ0103_C6,GXJ0103_C8D15,DGN16SxfsMAaA_12_117,DGN16SxfsMAaA_16_119,DGN16SxfsMCaB_21_109,DGN16SxfsMCaB_22_109,YZR0106_C2,YZR0106_C4,ZJD0111_JX,ZJD0111_C4uiPD,YZY0112_C2D15,Rego006,WHYD200513792_A,DGN16SuooMAaA_3_120,Rego010,FQT0113_JX,FQT0113_C2D15,DGN16SuooMAaA_4_115,HSR0114_JX,HAH0115_JX,Rego015,Rego016,CGH0116_JX,CGH0116_C2D1,DGN16SuooMAaA_3_115,WHYD200513785_A,WHYD200513797_A,WHYD200513812_A,DGN16SuooMAaA_9_116,WHYD200716230_A,Rego019,ZXL0117_JX,Rego020,SZL0119_JX,DGN16SuooMAaA_8_115,WHYD200716245_A,Rego023,HM0120_JX,Rego025,CWZ0121_JX,CWZ0121_PD,SLM0122_JX,WHYD200513799_A,WHYD20082037_A,WHYD200716229_A,WHYD20082062_A,WHYD200716254_A,LGZ0123_JX,Rego030,FW0124_JX,Rego032,WHYD200513772_A,YMS0125_JX,Rego035,TWH0126_JX,Rego042,Rego041,LJK0127_JX,SJH0128_JX,Rego046,FMS0129_JX,Rego045,DGN16SuooMAaA_1_113,WHYD200513577_A,WY0132_JX,LWM0133_JX,LMS0134_JX,CKH0135_JX,Rego054,WHYD200513795_A,DGN16SuooMAaA_1_115,WHYD200513813_A,PXX0136_JX,Rego061,Rego064,YGF0137_JX,JFQ0138_JX,Rego063,WHYD200513798_A,DGN16SuooMAaA_2_115,WHYD200513822_A,WHYD200513800_A,Rego069,DGN16SuooMAaA_5_116,Rego049,DGN16SuooMAaA_1_112,DGN16SuooMAaA_2_116,Rego083,WHYD200513765_A,DGN16SuooMAaA_4_112,WHYD200513815_A,DGN16SuooMAaA_2_113,WHYD200513773_A,DGN16SuooMAaA_1_116,WHYD200513784_A,WHYD200513786_A,DGN16SuooMAaA_9_112,WHYD200513802_A,DGN16SuooMAaA_7_115,WHYD200513791_A,GZL0140_JX,Rego071,WHYD200513766_A,DGN16SxfsMCaB_19_109
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2.4687,1.9873,2.8536,3.0536,3.4367,3.1525,2.866,2.0692,3.5986,2.8806,3.1753,2.539,2.0579,1.4647,2.7302,2.2062,2.9949,2.8247,3.4124,2.6793,3.3564,3.5124,1.9922,2.4211,3.6877,3.6357,3.183,3.0726,2.9751,3.2917,3.2003,2.6853,3.23,3.205,3.2134,3.1388,3.0547,3.7508,2.859,3.5602,2.6434,3.0992,2.5198,3.4851,3.0561,3.4488,2.767,3.2119,2.3435,2.7347,3.3334,3.3401,3.0096,3.1933,3.6004,2.7298,3.0478,3.531,3.2692,3.075,3.3373,2.2123,2.6639,1.6784,1.8446,3.241,3.1027,2.5027,3.6192,3.4332,2.9159,2.8713,3.3685,3.3228,2.3356,3.382,1.7189,3.3382,1.5879,3.0609,3.4841,2.9913,3.0532,2.7478,3.0355,1.6615,3.7111,1.9925,2.9858,2.8547,3.6068,2.3545,3.5305,3.4464,3.5473,3.1086,3.6481,3.0271,3.5558,2.5828,3.1097,2.9521,3.5409,3.2719,3.4287,3.3061,2.6338,2.7168,3.3498,2.322,2.8733
200,2.6191,2.1194,3.0225,3.2676,3.6531,3.3848,3.0498,2.2535,3.8562,3.0906,3.3835,2.6943,2.1516,1.5052,2.8425,2.319,3.1557,2.9729,3.6562,2.8008,3.6032,3.7531,2.0726,2.5561,3.9287,3.8799,3.3602,3.288,3.1442,3.4972,3.3909,2.8763,3.4506,3.42,3.4112,3.3355,3.2032,4.0593,3.0427,3.8376,2.7627,3.3285,2.6326,3.7344,3.2297,3.6528,2.8969,3.3752,2.4839,2.9078,3.5559,3.5423,3.211,3.4114,3.8451,2.8877,3.2611,3.7968,3.4533,3.2583,3.5735,2.3319,2.8053,1.7906,1.9325,3.4457,3.2862,2.6416,3.8482,3.6463,3.1017,3.045,3.5866,3.5552,2.4705,3.621,1.8311,3.5438,1.6354,3.2213,3.7392,3.185,3.2178,2.889,3.2304,1.7423,3.9705,2.1266,3.1358,3.0558,3.8678,2.4657,3.7635,3.6308,3.8186,3.3117,3.9161,3.2244,3.8063,2.7086,3.3251,3.1152,3.7947,3.4583,3.6657,3.4992,2.8171,2.8343,3.5867,2.4451,3.0664
300,2.6717,2.1765,3.1187,3.3633,3.7596,3.483,3.12,2.3292,3.9653,3.1705,3.4732,2.7534,2.1952,1.52,2.8878,2.3742,3.2245,3.0433,3.7638,2.8525,3.7053,3.8641,2.1267,2.6259,4.0314,3.9971,3.4516,3.3731,3.2241,3.5781,3.4851,2.9455,3.5483,3.5129,3.4977,3.4331,3.2692,4.1906,3.1448,3.9634,2.8089,3.4453,2.6735,3.8506,3.298,3.7577,2.973,3.4456,2.5511,2.9825,3.6494,3.6439,3.2908,3.5024,3.9505,2.9612,3.3528,3.9149,3.557,3.3488,3.6869,2.3921,2.8621,1.8611,1.9861,3.5374,3.3683,2.702,3.9564,3.7384,3.1966,3.123,3.6883,3.6545,2.5317,3.7265,1.8773,3.6438,1.6575,3.2884,3.8555,3.268,3.2935,2.9502,3.3096,1.7789,4.0769,2.1752,3.2054,3.1393,4.0021,2.5274,3.8705,3.7121,3.944,3.4038,4.0264,3.3111,3.907,2.7439,3.4136,3.2018,3.9105,3.5457,3.7743,3.602,2.898,2.8776,3.6857,2.5019,3.1553
400,2.7105,2.216,3.1624,3.4242,3.8216,3.5448,3.1686,2.3833,4.0349,3.2082,3.5247,2.7867,2.2189,1.5382,2.9188,2.4013,3.2691,3.0764,3.8286,2.8782,3.7738,3.944,2.1585,2.6667,4.104,4.0617,3.503,3.4288,3.2708,3.6232,3.5343,2.9867,3.6111,3.5664,3.552,3.4837,3.3132,4.2686,3.2017,4.0363,2.8335,3.5077,2.6992,3.9157,3.3378,3.8126,2.9996,3.4879,2.5857,3.0307,3.7034,3.6996,3.335,3.566,4.0207,3.0074,3.4071,3.9897,3.6115,3.3968,3.7562,2.4159,2.8935,1.8943,2.0164,3.5988,3.4115,2.7372,4.0256,3.7856,3.2435,3.1688,3.7566,3.7173,2.5537,3.7898,1.9053,3.6953,1.665,3.3346,3.9247,3.3176,3.3349,2.9821,3.3684,1.8009,4.1513,2.213,3.2399,3.1893,4.0753,2.5593,3.9253,3.7623,4.013,3.4658,4.0865,3.3682,3.9671,2.7783,3.4706,3.2473,3.9861,3.601,3.8347,3.6544,2.9305,2.9044,3.7519,2.5406,3.2048
500,2.731,2.2439,3.1974,3.4668,3.8569,3.5851,3.1945,2.4208,4.0837,3.239,3.5613,2.8092,2.2329,1.5437,2.941,2.4242,3.2946,3.1008,3.8755,2.8996,3.8123,3.9865,2.1696,2.6854,4.1501,4.1009,3.5326,3.4658,3.2973,3.6526,3.5763,3.014,3.6506,3.6048,3.5818,3.5197,3.3334,4.3196,3.2312,4.0826,2.8459,3.5429,2.7229,3.9677,3.3696,3.8504,3.0307,3.5127,2.6074,3.0645,3.7381,3.7424,3.371,3.6081,4.0671,3.0409,3.4558,4.0372,3.646,3.4361,3.7952,2.4226,2.9204,1.9109,2.0363,3.6407,3.4416,2.7619,4.0703,3.8246,3.2764,3.2019,3.8009,3.7568,2.5768,3.8262,1.9256,3.7299,1.6734,3.3628,3.9736,3.3554,3.3574,3.0059,3.3991,1.8233,4.2032,2.2381,3.2605,3.2238,4.1223,2.584,3.9673,3.7951,4.0574,3.5066,4.1351,3.4146,4.0102,2.8038,3.4982,3.2736,4.0287,3.6391,3.8742,3.6889,2.9651,2.9197,3.7909,2.5619,3.242
600,2.7462,2.2585,3.221,3.4933,3.8901,3.6171,3.2189,2.4529,4.122,3.261,3.5887,2.8212,2.2431,1.5509,2.9535,2.4443,3.3178,3.1183,3.907,2.9158,3.8419,4.0197,2.1872,2.6983,4.1827,4.1316,3.5514,3.4902,3.3287,3.6763,3.6032,3.039,3.6751,3.6321,3.6103,3.5484,3.3479,4.3577,3.2557,4.1186,2.8614,3.5731,2.7361,3.9997,3.387,3.8757,3.0509,3.5353,2.6251,3.0912,3.7652,3.7679,3.4004,3.6394,4.1022,3.0626,3.4881,4.0711,3.6723,3.4603,3.8281,2.4389,2.9377,1.9235,2.0541,3.6708,3.4722,2.7886,4.1008,3.8523,3.3018,3.2265,3.8297,3.7851,2.5941,3.8606,1.9397,3.7589,1.677,3.385,4.0084,3.3833,3.3742,3.0258,3.4214,1.8392,4.241,2.2602,3.2806,3.2467,4.1578,2.5993,3.9984,3.8256,4.0935,3.5348,4.1696,3.4423,4.0461,2.82,3.5338,3.2983,4.0627,3.665,3.9104,3.7156,2.9919,2.9287,3.8143,2.5795,3.268
700,2.7616,2.276,3.2413,3.5158,3.9117,3.6456,3.2386,2.465,4.1496,3.2835,3.6074,2.8345,2.2517,1.5555,2.9584,2.4603,3.3327,3.1288,3.9337,2.9279,3.8633,4.0485,2.1965,2.7127,4.2077,4.1555,3.5694,3.5046,3.3506,3.6941,3.6238,3.0601,3.6984,3.6533,3.6293,3.5708,3.365,4.3881,3.2742,4.1471,2.8747,3.5923,2.7478,4.0261,3.4002,3.8939,3.0648,3.5472,2.636,3.1171,3.7852,3.7874,3.4204,3.6632,4.1266,3.0741,3.512,4.1001,3.6952,3.4839,3.8495,2.4519,2.9482,1.9335,2.0667,3.6943,3.4964,2.8125,4.124,3.8763,3.3247,3.2431,3.8554,3.8026,2.6034,3.8828,1.9494,3.7809,1.6849,3.4009,4.0376,3.4062,3.3922,3.0379,3.4394,1.8457,4.2672,2.2757,3.2939,3.2606,4.1884,2.6133,4.0235,3.843,4.1234,3.5598,4.1992,3.4641,4.07,2.8322,3.5546,3.3196,4.0887,3.6882,3.9397,3.738,3.0109,2.934,3.8349,2.5936,3.2844
800,2.7708,2.2929,3.2568,3.5312,3.9276,3.6663,3.256,2.4828,4.1716,3.2972,3.6257,2.8423,2.2593,1.5564,2.9656,2.4717,3.34,3.1404,3.9516,2.9386,3.876,4.0715,2.2062,2.72,4.2284,4.1787,3.588,3.5227,3.3678,3.709,3.6418,3.077,3.7157,3.6661,3.6465,3.5886,3.3796,4.4134,3.2897,4.1669,2.8782,3.6149,2.7524,4.0472,3.4093,3.9106,3.0806,3.5586,2.6484,3.1332,3.8022,3.806,3.4332,3.6786,4.1431,3.0893,3.5299,4.1239,3.7085,3.4983,3.8754,2.4628,2.9616,1.9441,2.0729,3.7105,3.5064,2.8255,4.1427,3.892,3.3478,3.2537,3.8742,3.819,2.615,3.9034,1.958,3.7962,1.6901,3.4131,4.0579,3.4283,3.4057,3.049,3.4587,1.8492,4.285,2.2842,3.3045,3.2764,4.21,2.6234,4.0484,3.8586,4.1457,3.582,4.2205,3.4798,4.0919,2.8403,3.5741,3.333,4.1099,3.7037,3.9559,3.7562,3.0252,2.9412,3.8509,2.6062,3.3001
900,2.783,2.3004,3.2652,3.5423,3.9434,3.6819,3.2682,2.4973,4.1889,3.3125,3.6396,2.8532,2.2628,1.5594,2.9725,2.4769,3.3512,3.1481,3.9688,2.946,3.8893,4.0876,2.2154,2.725,4.2478,4.1972,3.5979,3.5376,3.3799,3.7275,3.6558,3.0924,3.731,3.6837,3.6617,3.6014,3.3886,4.4318,3.3044,4.1846,2.8861,3.6299,2.7583,4.0654,3.4188,3.9262,3.0909,3.5717,2.6575,3.1452,3.8168,3.819,3.4441,3.6937,4.1627,3.0978,3.5414,4.1389,3.7199,3.5079,3.8944,2.4731,2.9752,1.9501,2.0803,3.7299,3.5191,2.8329,4.1582,3.9053,3.3651,3.2622,3.8939,3.836,2.6256,3.9218,1.9635,3.8078,1.6945,3.4234,4.0753,3.4427,3.4162,3.0577,3.4723,1.8575,4.3034,2.2961,3.3141,3.2907,4.2249,2.6312,4.0645,3.8724,4.1642,3.5976,4.2396,3.4971,4.1054,2.8483,3.5852,3.3469,4.1281,3.7173,3.9751,3.7709,3.0371,2.9473,3.8659,2.6137,3.3126
1000,2.7896,2.3104,3.2759,3.557,3.9562,3.6957,3.2803,2.5081,4.2012,3.3225,3.652,2.859,2.2662,1.562,2.9789,2.4851,3.3596,3.1589,3.9848,2.9498,3.9003,4.1019,2.2223,2.732,4.261,4.2102,3.6059,3.5469,3.3885,3.7375,3.6689,3.1075,3.7407,3.6963,3.6727,3.6096,3.3953,4.4463,3.3176,4.1987,2.8916,3.6426,2.762,4.0784,3.4244,3.9403,3.095,3.5802,2.6646,3.1567,3.8278,3.8297,3.4532,3.7094,4.1787,3.1069,3.5528,4.1552,3.7292,3.5191,3.9114,2.4813,2.9837,1.9571,2.0858,3.7465,3.5256,2.841,4.1731,3.9154,3.3774,3.2707,3.9096,3.8491,2.6357,3.9314,1.9647,3.8174,1.6964,3.4332,4.0869,3.4547,3.4233,3.0652,3.4812,1.8669,4.3204,2.3035,3.3252,3.3028,4.2415,2.6363,4.0772,3.882,4.1829,3.6108,4.255,3.5102,4.1168,2.8573,3.5996,3.3591,4.1416,3.7276,3.9882,3.7827,3.0493,2.9518,3.8743,2.6246,3.3215
1100,2.7948,2.3176,3.2881,3.5702,3.9633,3.7074,3.2878,2.5151,4.2121,3.3322,3.6633,2.8664,2.272,1.5629,2.9846,2.488,3.3643,3.1628,3.9963,2.9578,3.9147,4.1132,2.2292,2.7391,4.2734,4.2222,3.6132,3.5548,3.3975,3.7485,3.6808,3.1185,3.752,3.7071,3.6852,3.6184,3.4047,4.46,3.3279,4.2121,2.8976,3.6498,2.7669,4.0901,3.4337,3.951,3.1026,3.5884,2.6695,3.1638,3.8374,3.8394,3.4613,3.7201,4.1907,3.113,3.5628,4.1702,3.7412,3.5327,3.9214,2.4909,2.987,1.9624,2.0927,3.7577,3.5338,2.8461,4.1843,3.9252,3.3878,3.2814,3.9206,3.8602,2.6446,3.9409,1.9725,3.8262,1.7001,3.4401,4.1,3.4641,3.4299,3.0717,3.4894,1.8708,4.3319,2.3078,3.333,3.3104,4.2543,2.6452,4.0873,3.8923,4.198,3.6199,4.2686,3.5207,4.1295,2.8605,3.6143,3.3684,4.1528,3.7378,4.0005,3.7861,3.0575,2.9553,3.8876,2.6294,3.3261
1200,2.7986,2.3214,3.2977,3.5828,3.9726,3.7198,3.2963,2.5264,4.2219,3.3393,3.6703,2.8724,2.2744,1.5638,2.9886,2.4906,3.3712,3.1675,4.0046,2.9611,3.9232,4.1211,2.2339,2.7439,4.2837,4.2305,3.6204,3.5617,3.4069,3.755,3.689,3.1255,3.7612,3.7142,3.6933,3.6266,3.4097,4.4732,3.3366,4.2237,2.9011,3.6579,2.7714,4.1002,3.4389,3.9586,3.1098,3.5958,2.6737,3.1729,3.8475,3.8474,3.4683,3.7266,4.2011,3.1196,3.5706,4.1793,3.7489,3.541,3.9317,2.4969,2.9937,1.968,2.0954,3.7677,3.5396,2.8493,4.194,3.935,3.3964,3.2898,3.9294,3.8712,2.65,3.9507,1.9767,3.8337,1.7026,3.4472,4.1122,3.4735,3.4338,3.0774,3.4986,1.8734,4.344,2.3134,3.3401,3.3204,4.2652,2.6516,4.0985,3.901,4.2109,3.632,4.2796,3.5296,4.1394,2.865,3.6234,3.3748,4.1646,3.7441,4.0102,3.7947,3.065,2.9573,3.8956,2.6334,3.3361
1300,2.8059,2.3252,3.3042,3.5909,3.98,3.7281,3.3055,2.5371,4.232,3.3434,3.6774,2.8768,2.2762,1.5652,2.994,2.4911,3.3787,3.1718,4.0143,2.9658,3.9322,4.1309,2.2374,2.7474,4.2931,4.2394,3.6254,3.5661,3.4144,3.762,3.6943,3.1351,3.7711,3.72,3.7007,3.6351,3.4155,4.4851,3.3462,4.2323,2.9051,3.6679,2.7743,4.1089,3.4437,3.9682,3.1139,3.6017,2.6806,3.1788,3.8557,3.8544,3.4754,3.7333,4.2086,3.1264,3.5767,4.1879,3.7547,3.5477,3.9405,2.5002,3.0014,1.9747,2.0964,3.7752,3.5485,2.8545,4.2022,3.9418,3.4036,3.2973,3.9398,3.8785,2.6536,3.9594,1.9789,3.8393,1.7051,3.452,4.1213,3.4789,3.4376,3.0814,3.5033,1.8782,4.3539,2.3176,3.3463,3.3279,4.2784,2.6565,4.1053,3.9092,4.2207,3.6405,4.2903,3.5402,4.1468,2.8686,3.6323,3.3828,4.1751,3.7512,4.0175,3.8053,3.0707,2.9607,3.9035,2.6386,3.343
1400,2.8127,2.3329,3.3119,3.6007,3.9849,3.7366,3.314,2.5423,4.2402,3.3496,3.6845,2.8809,2.2785,1.5638,2.9969,2.4944,3.3822,3.1768,4.0199,2.9678,3.9381,4.1397,2.239,2.7516,4.3001,4.2473,3.6307,3.5737,3.4199,3.7675,3.7009,3.1414,3.7781,3.7263,3.7055,3.6406,3.4197,4.4935,3.3542,4.2422,2.9068,3.6747,2.7774,4.1179,3.4466,3.974,3.1165,3.6064,2.6823,3.1846,3.8621,3.8632,3.4795,3.7407,4.2167,3.1296,3.5832,4.1955,3.7625,3.5557,3.9492,2.502,3.0067,1.9783,2.0987,3.7836,3.5517,2.8594,4.2097,3.9471,3.4109,3.3024,3.9482,3.8845,2.6582,3.9675,1.9822,3.8463,1.7077,3.4569,4.131,3.4851,3.4431,3.0862,3.5102,1.881,4.3639,2.3192,3.3501,3.3349,4.2842,2.6588,4.1139,3.9138,4.2283,3.6472,4.2992,3.5462,4.1543,2.8707,3.6372,3.3896,4.1838,3.7566,4.0275,3.8115,3.0763,2.9632,3.9092,2.6414,3.3472
1500,2.8177,2.3356,3.3184,3.6074,3.9914,3.7446,3.3202,2.55,4.2491,3.3541,3.6885,2.8831,2.2802,1.5648,2.9988,2.4973,3.3854,3.1808,4.0272,2.9715,3.9428,4.1464,2.2401,2.7534,4.3066,4.2542,3.6366,3.5787,3.4237,3.7714,3.704,3.1464,3.7843,3.7318,3.7118,3.6455,3.424,4.5007,3.3585,4.2495,2.908,3.6816,2.7824,4.1246,3.4506,3.9824,3.1191,3.6096,2.685,3.1904,3.8673,3.8701,3.4841,3.7479,4.2238,3.1337,3.59,4.2006,3.7688,3.5625,3.9558,2.5019,3.0101,1.9824,2.1038,3.7913,3.5571,2.8619,4.2173,3.951,3.4175,3.3079,3.9567,3.8911,2.6586,3.9765,1.9813,3.8525,1.7091,3.4608,4.1399,3.4907,3.4465,3.091,3.5151,1.886,4.3732,2.322,3.3549,3.3393,4.293,2.6637,4.1197,3.919,4.2371,3.6565,4.3088,3.5516,4.1596,2.8754,3.6423,3.3935,4.1948,3.7625,4.0338,3.8173,3.0793,2.966,3.9151,2.6435,3.3537
1600,2.8221,2.3404,3.3235,3.6116,3.9962,3.7531,3.3266,2.5526,4.2548,3.3568,3.6939,2.8867,2.2811,1.5648,3.0013,2.5033,3.39,3.1838,4.0318,2.9744,3.9474,4.1529,2.2439,2.7567,4.3133,4.261,3.6414,3.5824,3.426,3.7781,3.7115,3.1528,3.7896,3.7375,3.7174,3.6493,3.4277,4.5072,3.3623,4.2556,2.9099,3.6859,2.7839,4.1311,3.4554,3.9896,3.1241,3.6147,2.6911,3.1942,3.8717,3.8737,3.4865,3.7512,4.2307,3.1373,3.5948,4.2057,3.7723,3.5674,3.9625,2.5042,3.0134,1.9864,2.1067,3.7983,3.5623,2.8683,4.2232,3.956,3.423,3.3105,3.9643,3.8958,2.6601,3.9801,1.9833,3.8573,1.7112,3.4631,4.1504,3.4969,3.4509,3.0937,3.5219,1.8884,4.3787,2.3276,3.3569,3.3429,4.3008,2.668,4.1257,3.9247,4.2419,3.6647,4.3159,3.5562,4.166,2.8786,3.6483,3.3976,4.2012,3.7662,4.0398,3.8216,3.0845,2.9673,3.9213,2.6481,3.3573
1700,2.8249,2.3425,3.3272,3.6195,4.001,3.758,3.3309,2.5578,4.2619,3.3613,3.6987,2.8899,2.2838,1.5645,3.0028,2.5041,3.3941,3.185,4.037,2.9775,3.95,4.1588,2.246,2.7578,4.3174,4.266,3.6443,3.586,3.4323,3.7835,3.7156,3.1588,3.7941,3.7407,3.7209,3.654,3.4303,4.5138,3.3679,4.2597,2.9117,3.689,2.7853,4.1336,3.4602,3.9954,3.1265,3.6162,2.6958,3.1994,3.8779,3.8798,3.4892,3.7564,4.2364,3.1413,3.6019,4.2116,3.7752,3.5714,3.9675,2.5083,3.0176,1.9875,2.1099,3.8027,3.5667,2.8714,4.228,3.959,3.426,3.3139,3.9684,3.901,2.6617,3.9843,1.9837,3.8634,1.7125,3.467,4.1548,3.5027,3.4524,3.0941,3.5271,1.8904,4.3839,2.3313,3.3596,3.3479,4.3062,2.6715,4.1308,3.9284,4.2471,3.6706,4.3221,3.5596,4.1719,2.8815,3.6541,3.4018,4.2059,3.7693,4.0457,3.827,3.0863,2.9683,3.9271,2.652,3.3604
1800,2.8265,2.3469,3.3318,3.6244,4.0049,3.764,3.3354,2.5624,4.2677,3.3644,3.7023,2.8923,2.2858,1.5649,3.004,2.5047,3.3982,3.1862,4.0427,2.9806,3.9557,4.1622,2.247,2.7602,4.3238,4.2727,3.6465,3.5916,3.4377,3.7878,3.7197,3.1637,3.8013,3.7457,3.7241,3.6566,3.4334,4.52,3.3735,4.2642,2.9132,3.6946,2.787,4.1393,3.4638,4.0012,3.129,3.6205,2.6978,3.2043,3.8821,3.8837,3.4941,3.7604,4.241,3.1445,3.6073,4.2172,3.7793,3.5774,3.9716,2.5129,3.0205,1.9902,2.1124,3.8082,3.568,2.8728,4.2314,3.9631,3.43,3.318,3.974,3.9044,2.663,3.989,1.9832,3.8666,1.7149,3.4702,4.1591,3.5057,3.4541,3.0966,3.5323,1.8929,4.3888,2.334,3.3638,3.3525,4.3123,2.6743,4.1336,3.9319,4.2529,3.6765,4.3276,3.5618,4.1758,2.8827,3.6597,3.4052,4.2115,3.7718,4.0494,3.831,3.0884,2.97,3.9337,2.6558,3.364
1900,2.8285,2.3494,3.3353,3.6289,4.0087,3.7693,3.3405,2.5668,4.2719,3.3662,3.7053,2.8971,2.288,1.5657,3.0061,2.5088,3.4014,3.1888,4.0472,2.9828,3.9592,4.1679,2.2506,2.7622,4.3282,4.2779,3.6504,3.5942,3.4417,3.7923,3.7221,3.1677,3.8055,3.7504,3.7265,3.6597,3.4365,4.5254,3.3761,4.2693,2.9145,3.6986,2.788,4.144,3.4658,4.0051,3.131,3.624,2.7009,3.2066,3.8862,3.8885,3.4965,3.765,4.2458,3.1486,3.6103,4.2222,3.7838,3.5798,3.9764,2.5151,3.0233,1.9926,2.1145,3.8116,3.5719,2.8767,4.2353,3.9667,3.435,3.3208,3.9793,3.9087,2.6656,3.993,1.9852,3.8696,1.7164,3.4732,4.1624,3.5108,3.4572,3.0982,3.5355,1.8949,4.3948,2.3371,3.366,3.3565,4.3171,2.6786,4.1371,3.9387,4.2557,3.6816,4.3334,3.566,4.1804,2.8851,3.6643,3.4088,4.2168,3.7732,4.0555,3.8347,3.0924,2.9706,3.9374,2.657,3.3675
2000,2.8306,2.3517,3.3372,3.6322,4.0124,3.774,3.3458,2.57,4.2768,3.3704,3.7101,2.8985,2.2888,1.5662,3.0075,2.51,3.4037,3.1907,4.0512,2.986,3.9636,4.1713,2.2515,2.7639,4.3326,4.2822,3.6525,3.5978,3.4433,3.7974,3.7266,3.1705,3.8104,3.7552,3.7312,3.6632,3.4395,4.5304,3.3788,4.2746,2.9167,3.7036,2.7896,4.1485,3.4694,4.009,3.1326,3.6273,2.7028,3.2103,3.8904,3.8929,3.5004,3.7691,4.2512,3.1506,3.6131,4.2273,3.7885,3.5823,3.9794,2.5184,3.0256,1.9947,2.1173,3.8136,3.5748,2.8809,4.239,3.9716,3.4404,3.3235,3.9835,3.914,2.6675,3.9947,1.9862,3.8729,1.719,3.4756,4.1671,3.5135,3.4603,3.0998,3.5385,1.8971,4.4002,2.3371,3.3688,3.3595,4.3214,2.6826,4.1418,3.9419,4.2614,3.6848,4.3376,3.5702,4.1847,2.8866,3.6696,3.4112,4.2238,3.7761,4.0577,3.8385,3.096,2.971,3.9437,2.6597,3.3718
2100,2.8343,2.3555,3.3416,3.6363,4.0156,3.7773,3.3489,2.5738,4.2809,3.3723,3.7113,2.9001,2.2892,1.5666,3.0077,2.5114,3.4071,3.1924,4.0556,2.9876,3.9668,4.1748,2.2535,2.7642,4.3352,4.2858,3.6553,3.6004,3.4462,3.8023,3.7303,3.1765,3.8135,3.758,3.7355,3.6653,3.4414,4.534,3.3837,4.2789,2.9176,3.7067,2.7911,4.1535,3.4714,4.0131,3.1344,3.6303,2.704,3.214,3.8928,3.8968,3.5048,3.772,4.2562,3.154,3.6147,4.2308,3.7917,3.5858,3.9834,2.5213,3.027,1.9968,2.1182,3.8168,3.5776,2.8825,4.2411,3.9748,3.4421,3.327,3.9877,3.9191,2.6685,4,1.9878,3.8766,1.7191,3.4779,4.1701,3.5172,3.462,3.1023,3.5409,1.8972,4.4046,2.3399,3.3714,3.3636,4.3258,2.6857,4.1461,3.9439,4.2674,3.6888,4.3418,3.5742,4.1876,2.889,3.6741,3.4142,4.2281,3.7801,4.0622,3.8407,3.0974,2.9726,3.9462,2.6618,3.3744
2200,2.8371,2.356,3.3461,3.6395,4.0184,3.7811,3.3513,2.5769,4.2858,3.3749,3.7132,2.8994,2.2897,1.5666,3.0102,2.5132,3.4095,3.1948,4.0609,2.9904,3.9707,4.1772,2.2543,2.7653,4.3384,4.29,3.6583,3.6037,3.4495,3.8053,3.7331,3.1803,3.8166,3.7598,3.7384,3.6677,3.444,4.5381,3.3871,4.2817,2.9185,3.7093,2.7917,4.1592,3.4717,4.0169,3.1376,3.6327,2.7079,3.217,3.8956,3.8997,3.5088,3.776,4.2603,3.1557,3.6174,4.2337,3.7957,3.5899,3.9871,2.5231,3.0281,1.9981,2.1192,3.8212,3.5802,2.8847,4.245,3.9781,3.4459,3.329,3.9921,3.9222,2.6697,4.0024,1.9902,3.8792,1.72,3.4809,4.1745,3.5216,3.4645,3.1052,3.5444,1.8975,4.4079,2.3406,3.3739,3.3651,4.3303,2.6873,4.1487,3.9467,4.2709,3.6916,4.3458,3.5779,4.1904,2.89,3.6781,3.4162,4.2324,3.7833,4.0651,3.8436,3.1002,2.9737,3.9484,2.664,3.3779
2300,2.84,2.36,3.3471,3.6433,4.0199,3.7835,3.3546,2.5792,4.2893,3.3776,3.7157,2.9002,2.2891,1.5682,3.0104,2.5149,3.4119,3.1966,4.0631,2.9929,3.9738,4.1812,2.255,2.7661,4.3417,4.2937,3.6604,3.6059,3.4506,3.8086,3.7353,3.1833,3.8187,3.7625,3.7423,3.6702,3.4453,4.5416,3.39,4.2856,2.9188,3.7133,2.7928,4.1644,3.4725,4.0202,3.1398,3.6353,2.7096,3.2206,3.8978,3.9008,3.5112,3.7785,4.2631,3.1594,3.6209,4.238,3.7983,3.5928,3.9906,2.5254,3.0296,1.9995,2.1192,3.8233,3.5836,2.8881,4.2474,3.981,3.4489,3.3314,3.9963,3.9257,2.6697,4.005,1.9897,3.882,1.7214,3.4837,4.1786,3.5255,3.4669,3.1066,3.5472,1.8974,4.412,2.341,3.3755,3.3666,4.3348,2.6904,4.1507,3.9496,4.2746,3.6964,4.3504,3.5813,4.1928,2.8922,3.6814,3.4177,4.2354,3.786,4.0692,3.8445,3.1027,2.9741,3.9523,2.6661,3.38
