ID,HM0120_JX,Rego054,DGN16SuooMAaA_4_115,DGN16SuooMAaA_4_112,YZR0106_C4,DGN16SuooMAaA_3_115,YZR0106_C2,WHYD200513795_A,Rego042,WHYD200513797_A,WHYD200513577_A,YMS0125_JX,Rego049,Rego045,Rego046,Rego041,WY0132_JX,WHYD200513785_A,DGN16SuooMAaA_8_115,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,CGH0116_JX,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,SLM0122_JX,LGZ0123_JX,WHYD20082062_A,TWH0126_JX,LMS0134_JX,Rego071,CGH0116_C2D1,DGN16SxfsMCaB_20_109,WHYD200513798_A,WHYD200716230_A,Rego023,WHYD200513815_A,Rego064,Rego063,Rego061,WHYD200513799_A,Rego069,DGN16SuooMAaA_2_113,HAH0115_JX,CWZ0121_PD,JFQ0138_JX,WHYD200513786_A,WHYD200513822_A,CKH0135_JX,WHYD200513784_A,Rego010,Rego016,Rego015,Rego019,WHYD200716254_A,WHYD200513765_A,FW0124_JX,DGN16SuooMAaA_9_112,ZJD0111_C4uiPD,WHYD200513791_A,DGN16SxfsMCaB_22_109,ZXL0117_JX,YGF0137_JX,WHYD200513792_A,DGN16SxfsMAaA_12_117,WHYD200513772_A,DGN16SxfsMAaA_16_119,DGN16SuooMAaA_2_116,GZL0140_JX,LWM0133_JX,LJK0127_JX,SJH0128_JX,DGN16SuooMAaA_3_120,Rego083,SZL0119_JX,WHYD200513783_A,WHYD200716245_A,DGN16SxfsMAaA_18_115,ZJD0111_JX,DGN16SxfsMAaA_12_122,FQT0113_JX,WHYD200513800_A,Rego030,DGN16SuooMAaA_2_115,Rego032,CWZ0121_JX,GXJ0103_C8D15,WHYD200513802_A,WHYD200716229_A,Rego006,DGN16SxfsMAaA_13_114,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,PXX0136_JX,DGN16SxfsMCaB_21_109,DGN16SxfsMCaB_19_109,WHYD200513766_A,WHYD200513773_A,WHYD200513813_A,Rego020,DGN16SuooMAaA_5_116,Rego025,HSR0114_JX,GXJ0103_C6,DGN16SuooMAaA_9_116,FQT0113_C2D15,WHYD20082037_A,DGN16SxfsMAaA_17_112,Rego035,YZY0112_C2D15,WHYD200513812_A,FMS0129_JX
OTU5426,0,0,0,0,0,2,0,0,0,0,341,0,0,4,0,0,0,1,0,0,0,0,0,0,10,12,0,20082,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,375,0,5,0,0,0,0,0,0,103,62,0,0,4,0,1,2,0,0,2,0,0,0,211,0,0,0,0,0,180,0,865,1661,27,8,0,0,0,0,1,1460,2318,0,0,393,0,0,0,0,7659,0,2,0,0,0,0,340,108,0,0,0,0,0,2,1,2
OTU6831,0,127,409,27,11,17,0,406,15,0,0,1,38,32,34,4,2209,1,139,47,129,0,148,40,0,100,94,25,284,173,0,6547,1,0,15,0,36,53,372,1,39,148,0,9,4738,1936,2,51,0,169,16,21,83,41,0,0,36,1,1252,0,0,0,0,0,0,5,55,3,0,0,7,296,63,0,0,0,1,340,0,327,9,11,172,69,9,0,2327,14,41,0,154,203,1,0,489,1,1,0,191,427,75,0,0,66,0,121,7356,46,50,0,0
OTU3599,1,326,292,626,14,298,1,2,860,0,8,0,109,1118,3070,214,0,0,558,1219,1302,0,267,1153,0,0,716,0,1,443,0,2,2,5,647,0,661,853,508,3,779,645,5,0,0,0,31,0,0,1031,271,688,338,3,0,0,559,5,0,12,2,1,1,0,1,24,438,0,0,0,1,979,835,0,0,1,0,1,0,5,2,1840,350,421,0,0,0,16,599,0,528,89,1,0,0,2,0,11,599,794,976,0,0,835,3,476,2,892,0,1,1
OTU1306,1549,1,3,0,0,4,0,0,0,1249,194,437,0,0,0,0,321,516,0,0,4,42,17,3,662,408,0,47,285,0,90,0,1,871,0,1,0,0,0,475,1,2,47,540,0,0,2,0,277,0,0,0,0,580,3,29,0,2,392,2,0,2570,764,5114,362,3913,12,0,2,0,756,0,0,0,1,0,13,0,2,0,37,0,0,0,637,32,0,70,0,107,0,0,0,1662,0,123,175,1,0,0,0,1101,0,2,218,0,0,0,1028,1781,9
OTU3687,0,536,520,298,6,259,0,1,636,0,48,3,585,400,537,382,1,0,1859,443,1071,0,173,380,1,0,2247,0,24,91,1,1,4,0,633,6,1025,653,328,4,392,566,1,0,0,0,91,2,1,817,432,496,626,66,0,1,666,1,0,10,3,2,1,0,9,463,351,0,0,0,2,432,865,1,0,0,0,0,0,0,8,923,625,661,2,0,0,121,543,0,506,1040,21,0,1,5,24,2,856,661,604,0,0,421,12,2043,2,495,3,0,4
OTU1556,89,0,5,0,0,24,0,0,0,56,11,14,0,0,0,0,0,11,0,0,0,415,32,0,0,2,0,0,27,0,632,894,4,0,0,49,0,0,0,0,0,0,3866,0,381,113,0,507,1632,0,0,0,0,3,52,5,0,1,94,4251,11,0,4291,6,87,0,1,0,404,0,117,0,0,546,2,8,53,0,0,1,0,0,0,0,0,41,54,34,0,0,0,0,4908,0,2,0,108,0,0,0,0,17,121,2,2236,0,12,0,963,42,713
OTU44,0,0,15,0,0,32,0,0,1,149,243,4,0,0,0,0,0,285,0,1,24,1,118,1,3988,0,0,19,0,0,0,0,1,0,0,340,0,0,0,24,0,0,13,0,0,266,1,0,178,0,0,0,0,102,997,0,6,0,644,0,7,0,194,0,0,1,42,0,0,1377,0,1,0,0,56,2018,1,0,0,0,0,0,3,0,0,0,115,84,0,0,0,0,26,13,0,14541,0,0,0,0,0,0,1,18,0,0,0,0,1778,26,0
OTU1511,1,0,8,0,0,70,0,0,0,96,234,15,0,2,0,0,0,3,0,0,6,45,91,4,0,473,0,137,354,0,2728,1647,0,2,0,31,0,0,0,4163,0,3,1800,0,0,71,0,0,103,0,0,0,0,1380,904,71,1,157,3,0,77,0,0,52,357,657,8,0,401,1,881,0,0,1,656,0,672,0,57,3206,1,0,2,0,2,96,408,308,0,209,4,0,80,0,246,805,0,0,0,0,0,3619,217,6,0,0,71,0,0,29,3
OTU5659,0,1641,1026,2109,0,86,0,0,0,0,0,0,606,2712,26,7,0,0,156,682,65,0,1332,1755,0,0,724,0,0,134,0,0,0,0,4622,0,1509,22,106,0,108,900,0,0,0,0,0,0,0,320,25,82,147,0,0,0,84,0,0,0,0,0,0,0,0,0,601,0,0,0,0,976,60,0,0,0,0,0,0,0,0,16,143,288,0,0,0,0,8,0,1252,179,0,0,0,0,0,0,37,1094,141,0,0,47,0,1378,0,478,0,0,0
OTU1388,1,0,2,0,0,19,0,0,0,520,0,20,0,1,0,0,1,909,0,0,1,1953,33,1,0,1427,0,0,0,0,170,0,528,520,0,771,0,0,0,49,0,0,1077,0,3811,445,122,0,314,0,0,0,0,53,237,81,0,1,0,0,50,0,0,2087,10,449,17,0,24,705,622,0,0,69,135,306,164,1,303,1,0,0,0,0,1,440,273,24,0,92,1,0,1,0,490,6815,0,0,0,0,0,632,53,0,0,0,0,0,0,240,3
OTU2548,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,2981,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,4262,621,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,0,0,0,0,1166,0,1823,0,6110,0,0,0,0,0,0,1415,60,0,0,4207,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0
OTU2826,0,0,0,8,0,648,0,0,1203,16,0,0,93,1,0,1,0,6,35,89,182,0,1038,0,0,0,0,0,0,58,3,0,0,0,631,0,452,1775,1,0,218,440,0,0,0,0,633,0,0,438,5949,1366,281,0,0,0,1279,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1134,209,0,0,0,0,0,2140,0,6,23,0,0,0,0,0,0,228,1,953,0,0,3233,0,0,0,1314,0,0,0
OTU5333,890,0,0,0,0,0,0,0,0,166,0,781,0,0,0,0,891,286,0,0,0,534,2,0,778,503,0,2,746,0,197,0,1,1320,0,0,0,0,0,1671,0,0,9,453,0,7,0,0,0,0,0,0,0,790,2,131,0,924,0,0,257,290,1483,1418,752,882,0,0,6,2,282,0,0,406,48,34,20,1625,53,1,136,0,0,0,417,102,135,448,0,110,0,0,0,1383,203,3,563,0,0,0,0,120,16,0,0,0,0,0,1543,544,1086
OTU1295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2183,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,1,0,0,0,0,0,0,1077,793,0,0,0,0,66,0,324,0,4146,0,0,0,0,0,0,402,8,0,0,2234,0,0,0,0,0,13377,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
OTU5197,953,0,13,0,0,73,1,1,0,2545,0,384,0,0,0,0,239,1025,0,0,4,453,142,1,448,152,0,0,847,0,533,0,1,235,0,4,0,0,0,13,0,2,224,455,0,306,0,1,0,0,0,0,0,93,89,33,0,455,1,0,323,158,740,1031,5,519,18,0,13,3,104,1,0,437,69,286,12,2447,6,0,2520,0,1,0,221,41,2357,32,0,30,2,0,0,1780,72,65,3,0,0,0,0,91,8,6,0,0,0,0,846,580,334
OTU907,1292,0,0,0,2555,1,0,123,0,0,111,121,0,1,0,0,368,1,0,0,0,3,1,0,46,12,0,177,1,0,25,0,0,11,0,2,0,0,0,5,0,0,96,196,71,1,0,311,5,0,0,0,0,16,0,2,0,19,18,15112,8,24,30,0,10,57,1,260,7,25,4,0,0,7,0,0,0,145,0,488,1341,0,0,0,354,0,0,5,0,2,0,0,16,404,0,0,0,0,0,0,0,18,0,0,637,0,2,0,57,0,142
OTU5775,0,0,1777,183,0,1,0,0,0,0,0,0,0,1209,1919,17,0,0,0,0,436,0,0,1800,0,0,67,0,0,5,0,0,1,0,1112,0,1634,84,28,0,0,155,0,0,0,0,13,0,1,1537,554,111,111,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,263,0,0,0,0,0,0,0,0,286,1589,2650,0,0,0,0,152,0,0,5619,0,0,0,0,0,0,29,0,0,0,0,92,0,110,0,45,0,0,0
OTU4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10666,0,12573,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
OTU3787,0,260,2751,368,0,80,0,0,45,0,0,0,41,328,123,53,0,0,1281,374,76,0,1640,505,0,0,229,0,4,1114,0,0,0,0,329,0,440,155,832,0,59,795,0,0,0,0,1,0,0,2253,201,154,1186,0,0,0,134,0,0,0,0,0,0,0,0,0,403,0,0,0,0,410,814,0,0,0,0,0,0,0,0,5,745,1466,0,0,0,1,161,0,309,343,0,0,0,0,0,0,635,241,771,0,0,189,0,410,0,412,0,0,0
OTU6685,1678,0,0,0,0,14,1,0,0,3171,0,0,0,2,0,0,0,919,0,0,1,1001,19,0,0,0,0,1,0,0,2460,0,0,2233,0,11,0,0,0,0,0,0,1,3242,0,0,0,0,0,0,0,0,0,0,46,21,0,0,1,0,792,0,0,0,0,0,0,0,530,0,2349,0,0,0,119,0,84,0,37,1,0,0,0,0,1410,86,0,0,0,64,0,0,0,0,0,84,0,0,0,0,0,193,39,5,0,0,1,0,0,1573,0
OTU1534,210,0,0,0,97,21,0,0,0,21,118,234,0,0,0,0,1116,110,0,0,4,118,3,1,291,67,0,8632,112,0,209,355,0,101,0,1,0,0,0,47,0,0,274,249,383,77,4,0,106,0,0,0,0,21,11,11,0,127,70,726,68,215,71,387,17,184,9,589,348,718,45,0,0,7,6,6,11,95,27,210,904,0,1,0,442,22,23,22,0,121,1,0,237,429,85,43,2,402,0,0,0,213,30,3,0,0,1536,0,285,14,123
OTU4164,10,282,243,302,2,800,0,0,2463,0,0,0,1316,535,140,163,1,0,127,253,1426,0,291,120,1,1,294,0,2,506,1,7,4,2,131,2,203,770,237,1,537,324,19,2,0,0,18,0,1,152,509,619,247,2,1,0,284,2,0,5,4,2,0,0,2,18,1885,0,0,0,5,43,652,0,0,0,0,0,0,1,2,1784,112,151,0,0,1,1,116,0,158,31,5,0,0,2,0,6,82,91,867,0,0,635,2,1225,2,392,0,0,1
OTU528,0,235,309,1094,0,265,0,0,480,0,0,0,27,21,276,194,0,0,148,5056,1013,0,11,581,0,0,65,0,0,113,0,0,134,0,140,0,247,338,18,0,407,1358,2,0,0,0,237,0,0,197,161,357,40,0,0,0,593,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2344,96,0,0,0,0,0,0,0,0,322,1186,38,0,0,0,1,329,0,1573,267,0,0,0,0,0,0,86,120,157,0,0,311,0,76,0,250,0,0,0
OTU3465,0,44,55,984,0,673,0,0,44,0,0,0,66,567,205,0,0,0,842,13,125,0,156,89,0,0,2004,0,0,142,0,0,0,0,742,0,86,337,457,0,22,30,0,0,0,0,0,0,0,166,757,289,808,0,0,2,97,0,0,0,0,0,0,0,0,0,126,0,0,0,0,348,758,0,0,0,0,0,0,0,0,45,1246,178,0,0,0,0,3915,0,12,703,0,0,0,0,0,0,546,182,709,0,0,487,0,1105,0,534,0,0,0
OTU566,0,41,281,273,0,353,0,1,270,12,0,0,65,26,250,111,0,6,120,679,1104,0,1609,95,1,0,375,0,0,96,0,0,267,3,85,0,107,94,18,42,226,322,9,0,1,0,1408,0,5,85,83,107,10,275,1,0,3663,0,0,0,1,0,0,0,0,0,2457,0,0,0,0,57,38,0,3,12,0,0,0,1,0,248,204,17,0,0,0,1311,74,0,940,91,0,0,0,0,1,0,13,201,192,0,0,1016,0,478,0,88,0,2,0
OTU1155,1,334,239,393,4,50,2,0,268,1,17,0,154,363,416,3,6,0,395,650,376,0,333,471,2,0,214,4,11,726,0,1,1,121,214,2,185,260,703,7,1394,258,0,20,1,1,2,0,2,739,293,1322,378,34,1,7,281,0,0,1,0,3,10,1,0,1,113,7,0,0,1,190,458,0,0,0,0,2,0,10,116,794,243,410,3,1,0,20,790,0,1387,119,0,1,1,1,40,1,1090,899,586,0,2,237,0,213,2,276,21,0,0
OTU3776,0,1445,2318,375,0,67,0,0,9,0,0,0,174,989,286,21,0,0,402,590,98,0,185,362,0,0,198,0,0,329,0,0,0,0,241,0,73,454,1025,0,114,135,0,0,0,0,1,0,0,540,109,222,1272,0,0,0,79,0,0,0,0,0,0,0,0,0,204,0,0,0,0,745,414,0,0,0,0,0,0,0,0,71,347,235,0,0,0,1,188,0,88,1069,0,0,0,0,0,0,691,515,1328,0,0,692,0,329,0,585,0,0,0
OTU3019,1,0,0,0,0,2,0,1,0,407,8,0,0,0,0,0,22,87,0,0,0,127,15,0,0,2345,0,2,0,0,8,0,0,0,0,9,0,0,0,1,0,0,0,0,0,3289,0,0,0,0,1,0,0,0,23,76,0,0,0,0,0,1870,1,0,0,0,2,0,71,0,223,0,0,0,21,0,27,0,16,0,0,0,1,0,1,37,7199,0,0,78,1,0,0,0,3432,0,4,0,0,0,0,88,31,0,0,0,0,0,0,63,0
OTU5205,461,0,0,0,0,4,1,0,0,557,0,411,0,0,0,0,296,549,0,0,0,1100,1,0,123,213,0,1,225,0,497,0,1,1749,0,2,0,0,0,448,0,0,2,976,0,9,0,0,0,0,0,0,0,351,16,34,0,274,3,0,276,430,1411,283,1477,228,1,0,5,2,636,0,0,361,115,25,20,6,64,0,111,0,0,0,786,147,229,268,0,86,0,0,0,867,126,6,52,0,0,0,0,231,14,0,0,0,0,0,644,1117,1078
OTU1902,24,0,1,0,0,10,0,0,0,30,0,33,0,1,0,0,3,36,0,0,0,234,2,0,7861,149,0,0,8,0,252,940,9,19,0,93,0,0,1,231,0,0,3771,9,375,59,7,0,47,0,0,0,0,138,47,7,0,375,0,0,37,0,43,27,190,11,1,0,690,0,896,0,0,2,19,0,795,2,44,0,0,0,0,0,1,211,7,62,0,11,0,0,106,0,16,15,0,0,0,0,0,776,61,0,0,0,49,0,55,15,69
OTU3593,0,189,148,1737,0,9,0,0,624,0,0,0,4,10,160,1,0,0,870,359,521,0,1,0,0,0,325,0,0,401,0,0,0,0,417,0,468,920,465,0,75,650,2,0,0,0,295,0,1,287,39,1087,298,0,0,0,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,2,301,832,0,0,0,0,0,0,3,0,503,245,187,0,0,0,4,552,0,615,52,0,0,0,0,0,0,1212,191,24,0,0,36,0,371,0,1209,1,0,0
OTU3789,0,86,690,362,0,144,0,0,28,0,0,0,1,17,0,3,0,0,2236,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,251,0,1959,0,0,195,0,0,0,0,0,0,0,539,971,32,1138,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,55,1062,2212,0,0,0,0,610,0,9,684,0,0,0,0,0,0,1973,0,1847,0,0,309,0,1,0,148,0,0,0
OTU3565,0,0,0,1059,0,21,0,0,19,0,0,0,2,54,78,0,0,0,1128,0,175,0,6,0,0,0,0,0,0,0,4,0,0,0,50,0,17,40,1451,0,135,0,0,0,0,0,6,0,0,0,110,0,184,0,0,5942,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,995,560,0,0,0,0,0,0,0,0,35,28,332,0,0,0,0,859,0,114,96,0,0,0,0,0,0,1127,181,2760,0,0,57,0,0,0,329,0,0,0
OTU2746,0,0,0,0,4,0,8,1,0,0,1,0,0,0,0,0,6775,0,0,0,0,26,0,0,3,24,0,333,187,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,82,0,0,20,0,0,0,0,0,0,0,0,0,97,0,180,1,0,0,0,1,2,0,332,0,7526,2,0,0,0,0,0,0,6,0,5,0,0,0,0,1425,221,0,0,0,46,0,0,48,0,25,0,1,8,0,0,0,1,2,0,114,0,0,0,0,0,1
OTU3595,0,150,139,237,0,703,0,0,418,0,1,0,113,152,421,12,0,0,1474,641,1467,0,131,250,0,0,250,0,0,265,0,0,0,0,170,0,272,206,1204,0,943,163,0,0,0,0,5,0,1,356,1066,418,98,1,0,0,228,1,0,0,2,0,0,0,0,14,35,1,0,0,2,343,793,0,0,0,0,1,0,1,12,192,92,512,0,0,0,3,295,0,167,363,0,0,3,0,0,5,792,100,398,0,0,607,0,123,1,572,4,0,0
OTU5680,0,739,851,68,0,40,0,0,38,0,0,0,1119,469,138,188,0,0,273,435,38,0,1616,32,0,0,310,0,1,344,0,0,0,0,755,0,156,235,835,0,149,124,0,0,0,0,0,0,0,829,171,174,423,0,0,0,30,0,0,0,0,0,0,2,0,0,719,0,0,0,0,616,640,0,0,0,0,0,0,0,0,5,318,789,0,0,0,0,328,0,23,185,0,0,0,0,0,0,1064,77,681,0,0,374,0,335,0,581,0,0,0
OTU5142,4,0,6,0,2,158,0,0,0,145,855,9,0,0,0,0,52,864,0,0,34,0,50,6,6,4,0,19,4,0,7,13,10,316,0,10,0,0,0,232,0,0,9,2,13,273,18,0,831,0,0,0,0,277,40,0,2,3,362,13,3,7,536,18,137,6,45,89,7,4,0,1,0,0,28,24,0,11,1,21,9053,0,8,0,4,0,79,191,0,0,1,2,3,8,1,192,13,1936,0,0,0,3,1,3,0,0,60,0,9,135,1
OTU2436,0,13,1065,38,6,6,277,3303,1,0,3,0,12,6,1,5,1,0,320,163,147,0,1366,228,0,0,372,0,3,8,0,2,12,489,24,0,8,4,6,53,0,703,8,1,0,0,141,55,0,2,3,0,21,237,0,0,197,0,0,57,0,0,0,1,53,0,1236,4,0,0,0,2288,0,0,1,1,0,0,0,6,2,0,506,6,0,0,1,675,0,0,133,216,13,1,0,6,143,75,3,593,4,0,0,364,1,597,1,4,0,1,1
OTU5089,0,0,2,0,0,98,0,1,0,0,26,0,0,0,0,0,0,1,0,2,13,0,36,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,72,0,0,0,0,0,0,0,211,148,2,2,0,0,0,0,27,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,1955,0,0,0,0,0,0,0,8,13308,0,0,0,0,74,0,4,0,0,0,0,0,0,0
OTU2374,584,0,0,0,148,0,0,0,0,4,70,246,0,1,0,0,1097,1,0,0,0,9,0,0,149,19,0,231,474,0,4,1071,0,3,0,4,0,0,0,13,0,0,10,94,733,0,0,2,5,0,0,0,0,3,0,4,0,63,31,47,9,647,39,455,5,700,0,4256,24,61,71,0,0,0,0,0,2,1045,1,624,352,0,0,0,61,4,1,3,0,0,0,0,149,348,16,1,2,0,0,0,0,97,1,0,110,0,1152,0,228,1,32
OTU1310,64,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,3,29,1,2,28,0,0,0,1,5,0,0,0,0,0,3,0,0,2,2529,0,1,0,0,6830,0,0,0,0,7,15,1,0,0,0,0,1,695,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1704,0,0,0,239,0,0,0,0,1,2,0,0,29,0,0,0,0,0,1,0,1,0,10,0,0,0,0,3319,0,1
OTU4716,10,0,2,0,0,16,0,3,0,380,3372,36,0,0,0,0,1,125,0,0,17,123,9,3,397,182,0,2,10,0,74,1,2,1,0,425,0,0,0,500,0,0,1,0,131,159,5,0,88,0,0,0,0,724,573,0,1,8,132,0,10,0,18,266,45,28,23,3,15,6,81,0,0,0,52,1,43,16,36,2,1,0,3,0,1,22,64,6460,0,7,1,0,72,0,2,82,4,1,0,1,0,535,36,1,0,0,1,0,1,105,21
OTU4667,0,0,0,0,0,0,0,1,0,0,14633,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,1,0,0,0,0,0,201,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,3,0,0,119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,76,0,0,0,0,0,0,0,0,7,38,0,2,0,0,0,0,4,0,346,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU3772,0,528,45,726,0,15,0,0,173,0,0,0,3,264,1243,2,0,0,176,276,252,0,32,231,0,0,135,0,0,638,0,0,0,0,40,0,238,1322,92,0,447,31,0,0,0,0,0,0,0,889,64,1904,30,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,441,0,0,0,0,0,0,0,0,1386,52,106,0,0,0,0,784,0,897,6,0,0,1,0,0,1,288,132,150,0,0,305,0,26,0,320,0,0,0
OTU4644,0,0,2,0,0,35,0,0,0,1,13,114,0,0,0,0,0,53,0,0,0,681,4,0,3980,102,0,3,176,0,346,1404,0,0,0,154,0,0,0,8,0,0,124,0,79,1,6,0,103,0,0,0,0,73,52,313,0,77,3,0,541,0,0,30,13,11,3,0,417,304,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,12,6,3,0,9,0,0,2131,14,7,0,0,0,0,0,0,0,19,0,0,0,1957,0,1114,46,335
OTU3783,0,53,1893,67,0,70,0,0,3,0,0,0,12,111,46,7,0,0,865,66,137,0,298,87,0,0,219,0,0,618,0,0,0,0,219,0,126,161,1386,0,122,178,0,0,0,0,0,0,0,381,280,121,925,0,0,0,52,0,0,0,0,0,0,0,0,0,301,0,0,0,0,1557,83,0,0,0,0,0,0,0,0,2,571,164,0,0,0,0,42,0,205,598,0,0,0,0,0,0,460,642,204,0,0,815,0,346,0,31,0,0,0
OTU2477,4,0,0,0,0,0,0,0,0,921,0,0,0,0,0,0,0,202,0,0,1,808,0,0,0,0,0,2,0,0,245,0,0,2919,0,1,0,0,0,0,0,0,0,1987,0,0,0,0,0,0,0,0,2,0,29,8,0,0,0,0,9,452,0,0,6,0,0,0,12,0,1091,0,0,255,1,0,3,0,4,0,0,0,0,0,1854,27,3,1,0,19,0,0,0,0,373,32,7,0,0,0,0,365,1,0,0,0,0,0,0,978,1021
OTU5870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3448,0,99,0,2715,0,0,0,0,0,0,2047,0,0,0,3856,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0
OTU3786,0,1337,0,118,0,0,0,0,214,0,0,0,71,868,78,46,0,0,9,2962,9,0,449,483,0,0,48,0,0,270,0,0,0,0,409,0,190,88,110,0,28,1137,0,0,0,0,3,0,0,77,46,547,1114,0,0,0,172,0,0,0,0,0,0,0,0,0,297,0,0,0,0,325,42,0,0,0,0,0,0,0,0,53,146,600,0,0,0,0,48,0,208,239,0,0,0,0,0,0,5,218,37,0,0,0,0,69,0,169,0,0,0
OTU3600,0,1623,78,14,0,192,0,0,227,0,0,0,0,6,1080,0,0,0,83,53,132,0,0,31,0,3,359,0,0,26,0,0,0,0,150,0,168,705,35,0,34,306,1,0,0,0,2,0,0,86,613,900,72,0,1,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,2,192,815,0,0,0,0,0,0,0,0,216,349,147,0,0,0,1,246,0,8,456,0,0,0,0,1,1,176,252,171,0,0,1521,0,499,0,243,0,0,0
OTU4880,23,0,0,0,38,0,0,1,0,9,1678,31,0,0,0,0,53,0,0,0,0,0,0,0,7,0,0,12,18,0,0,43,2,73,0,28,0,0,0,157,0,0,0,2,37,21,2,1,51,0,0,0,0,51,33,1,1,10,810,2,0,116,486,32,53,26,1,248,2,1,5,0,0,0,3,0,0,76,0,44,7763,0,0,0,2,2,8,23,0,0,0,0,7,13,5,70,44,372,0,0,0,6,0,0,17,0,110,0,20,28,5
OTU1596,0,0,8,0,0,29,0,1,0,288,3,49,0,0,0,0,0,898,0,0,13,532,28,1,0,849,0,3,0,0,102,0,3,752,0,1251,0,0,0,497,0,1,0,0,2,720,0,0,1,0,0,0,0,394,681,90,0,0,2,0,228,0,0,1,372,1,31,0,624,1,364,1,0,32,57,72,294,0,773,0,0,0,4,0,0,208,313,312,0,400,0,0,0,0,0,736,60,0,0,0,0,177,28,4,0,0,0,0,0,294,132
OTU5665,0,178,1937,60,0,14,0,0,4,0,0,0,3,41,12,3,0,0,158,81,223,0,81,0,0,0,585,0,0,385,0,0,0,0,1023,0,302,132,71,0,91,1094,0,0,0,0,2,0,0,553,29,46,373,0,0,0,231,0,0,0,0,0,0,0,0,0,525,0,0,0,0,136,72,0,0,0,0,0,0,0,0,173,634,369,0,0,0,0,179,0,324,267,0,0,0,0,0,0,117,711,88,0,0,45,0,1124,0,70,0,0,0
OTU6147,0,0,0,0,0,1,0,0,0,1,5,104,0,2,0,0,6,4,0,0,1,503,0,0,1124,61,0,0,170,0,41,1404,1,0,0,9,0,0,0,2,0,0,14,0,476,3,14,0,0,0,0,0,0,8,0,3,0,17,40,0,1092,0,0,29,112,77,3,0,935,2991,296,0,0,44,1,3,59,1,13,1,0,0,2,0,0,241,0,11,0,45,0,0,13,1476,26,1,0,0,0,0,0,13,78,0,0,0,115,0,12,1,800
OTU3474,0,1050,15,12,2,3,0,0,3591,0,0,4,7,91,3138,118,1,0,0,18,3,0,0,10,0,0,19,1,0,176,0,0,0,0,1,0,130,109,9,0,19,14,4,0,0,0,1,3,0,104,8,380,401,0,0,0,2,0,0,2,0,1,0,1,0,1,16,1,2,0,0,15,34,0,0,0,0,1,1,0,5,418,33,265,0,0,0,0,14,0,40,8,0,3,9,0,0,1,19,28,3,1,0,1,0,7,0,2114,0,0,1
